Query,Category
What route will how the least traffic delays at this time to reach Waterford Lakes Town Center from my house,ROUTE
Which restaurants are my friends tending to eat at the most?,PLACE
in which state does the highest point in usa exist,AREA
 way Music festival St. school,ROUTE
Are any of my friends from high school going to the event this weekend?,PLACE
route for accessing high way,NONE
what states border wisconsin,AREA
what are the cities in states through which the mississippi runs,AREA
concerts for children,EVENT
Directions from home to work,ROUTE
how many people live in san francisco,NONE
anything cool happening in my area today,EVENT
directions to kate's school from the grocery store,ROUTE
What kind of events are happening today,EVENT
Any aviation events coming up,EVENT
Are there back roads I could take to get to hunter ski mountain by 9am?,ROUTE
what is the highest point of the usa,AREA
Any live music tonight,EVENT
Were any of my friends at the casino last week?,PLACE
 Zurich Film,EVENT
any good mexican restaurants near current location,PLACE
Restaurants serving vegetarian food in New Orleans this month,PLACE
Best route to work to avoid heavy traffic,ROUTE
"Any events in Brooklyn, tomorrow night",EVENT
Bars on Oahu,PLACE
what are the rivers in the state of indiana,PLACE
what is the capital of iowa,AREA
path for walk in city,ROUTE
Surfing area in Long beach,AREA
Where do the most people eat near where I live?,NONE
 directions brother house Mom house toll roads,ROUTE
what is the smallest state bordering wyoming,AREA
"-122.8468375,45.4698356",GEOLOCATION
what is the state with the highest elevation in the united states,AREA
where do they have the fair and rodeo in waco texas and when is it,EVENT
where can I go hiking,PLACE
 reservation,NONE
"52.3742, 4.89517",GEOLOCATION
What is my commute to work today,ROUTE
fun bars in Chicago near Wicker Park,PLACE
Any event near me,EVENT
"-122.780081,45.4787975",GEOLOCATION
Taco trucks in Upstate SC available after 5 pm,PLACE
"51.661535,39.200287",GEOLOCATION
Best route to avoid traffic,ROUTE
"2148  Randall Drive, Honolulu, Hawaii",GEOLOCATION
Any concerts happening tonight,EVENT
closest glow bowling place,PLACE
Directions to arrive by 9 am at the city hall in West Hollywod leaving from home,ROUTE
best route to take to wildwood that avoids bridges,ROUTE
what is the smallest city in hawaii,AREA
Directions to LAX Post Office,ROUTE
how many of my friends are attending the game this friday night,NONE
"990 Route 5 20, Geneva NY 14456",ADDRESS
school district in this city,AREA
coffee shop near me opening within a month,PLACE
National Academy of Design,PLACE
what is the capital of the state texas,AREA
any concerts from gwen steffani soon,EVENT
Can you tell me directions to the Wal Mart on 103rd Street.,ROUTE
Can I get directions to the law firm on 25th in Salem where I met last Thursday?,ROUTE
"Can i get directions to the outlet mall in Carlsbad, ca",ROUTE
Anything cool happening in Concord today,EVENT
Directions to my densist,ROUTE
"37.639938, 127.025508",GEOLOCATION
quality hotel,PLACE
"University College, Oxford",PLACE
Where can I get a live Christmas tree,PLACE
"4975 Transit Rd, Lancaster NY 14086",ADDRESS
Can you tell me the route with the least traffic delays between here and Shoppingtown mall if I leave right now?,ROUTE
"-122.8033546,45.4790762",GEOLOCATION
"135 Fairgrounds Memorial Pkwy, Ithaca NY 14850",ADDRESS
Any cocktail party around here,EVENT
"2643 Hwy 280 West, Alexander City AL 35010",ADDRESS
Any dine in movie theaters in Brooklyn,PLACE
any interesting parties in Jackson this december,EVENT
what is the highest point in the smallest state,AREA
What time can i catch the sunset by mrytle beach,NONE
any good country music concerts coming up,EVENT
 route from high way to city exit,ROUTE
What events are happening next week,EVENT
what is the highest point in montana,AREA
what is the highest point in the usa,AREA
Is the restaurant Rio Grande open tomorrow,PLACE
Price,NONE
Theodore Roosevelt Birthplace,PLACE
Jose maysonet,NONE
what is the capital of texas,AREA
bus route for tourism,ROUTE
any cool fitness events,EVENT
what are the major cities in the largest state,AREA
What are the upcoming food festivals near me,EVENT
Adult things to do this weekend on Oahu,EVENT
music venues,EVENT
Do twins skip a generation in your family?,NONE
auditions,NONE
how many people lived in austin,NONE
Any Big Band or Swing shows in Tulsa next week,EVENT
Any celebrations in downtown Savannah this week end,EVENT
what are the major cities in alaska,AREA
"Metropolitan Museum of Art, New York",PLACE
"52.1802, 4.29517",GEOLOCATION
What is the average price for a meal at D'Amico's in Houston,NONE
"41.64296,-87.62576",GEOLOCATION
Nice beach in Hawaii,PLACE
Where Tibet is located,AREA
Can you tell me the quickest route to get from work to the Coronado Mall by avoiding traffic,ROUTE
Can you give me directions to Roosevelt Park that is near the hospital from my work?,ROUTE
any comedy shows to go to on tuesday,EVENT
"5335 Hwy 280 South, Hoover AL 35242",ADDRESS
Which area is for walking,AREA
what is the biggest city in the us,AREA
Is there a dining venue on a boat on Lake Tahoe during the holidays,PLACE
any comedy shows today in nyc,EVENT
birthday ideas happening next week,PLACE
Changi Ferry Terminal,PLACE
what are the major cities in new mexico,AREA
Who wished me happy birthday last year?,PLACE
 122 Walter Hardwick 305 Vancouver BC V5Y 0C9,ADDRESS
any fun events for the holidays,EVENT
direction to girlfriends hotel,ROUTE
what time should I call an uber if I need to be at the airport by 5pm?,PLACE
what is the capital of the state with the longest river,AREA
what are the major cities in the state of california,AREA
any boat shows this weekend,EVENT
how many people live in the smallest state bordering wyoming,NONE
Any bake sale fundraisers happening this month,EVENT
hotel behind Brigham Young University,PLACE
 monument,NONE
what is the capital of the state that borders the most states,AREA
Any music shows today,EVENT
"Find me discount coupons for Outback Restaurant, going tomorrow for lunch",NONE
Any Jazz concerts this month,EVENT
"5560 Mcclellan Blvd, Anniston AL 36206",ADDRESS
"5783 So Transit Road, Lockport NY 14094",ADDRESS
What is the route is the best from home to Seaworld,ROUTE
what is the biggest river in illinois,AREA
"-122.8415265,45.4354978",GEOLOCATION
 places for seasonal flower,PLACE
Any New Year's Eve parties to go to,EVENT
adult only events starting after 6,EVENT
 friends blues weekend,NONE
"""41.83845,-87.64627""",GEOLOCATION
which rivers run through the state with the largest city in the us,PLACE
"2001 Glenn Bldv Sw, Fort Payne AL 35968",ADDRESS
ideas on what to do today,NONE
Adventurous things happening in New York City,EVENT
what is the smallest city in the largest state,AREA
ice rinks,PLACE
Please give me a route to work with the least amount of traffic,ROUTE
 groups husband belong,NONE
 pizza places,PLACE
the Jessica's volleyball game at 7:30 a.m. Wednesday morning at Parish high school.,NONE
what is the capital of massachusetts,AREA
"42.0825,-88.0425",PLACE
What time does my supervisor's husband leave for work every day?,NONE
What routes can I take to get to the Civil Right's Museum in Memphis?,ROUTE
what are the states that border the state with the greatest population,AREA
what is the capital of the state with the most inhabitants,AREA
 PO Box 803338 Chicago 60680-3338,ADDRESS
Places to eat near me,PLACE
"2 Gannett Dr, Johnson City NY 13790",ADDRESS
where is dallas,AREA
The John Adams Library,PLACE
Greenest neighborhoods,AREA
Can you give me directions to the east end without hitting the expressway traffic,ROUTE
"-122.8478259,45.5212052",GEOLOCATION
Who would you like to move to a new place with?,NONE
what is the highest point in kansas,AREA
Who is voted the best winery in Washington,NONE
Any Beyonce concerts this month,EVENT
"2041 Douglas Avenue, Brewton AL 36426",ADDRESS
 Victoria pool party I hosting tomorrow,NONE
any event in philadelphia today,EVENT
Seletar Airport,PLACE
fun stuff in amusement part,EVENT
 picking activities happening Sunday,EVENT
what are the capitals of states that border missouri,AREA
Best winery to visit in ridgefield,PLACE
concerts,EVENT
 friends week,NONE
parties for Halloween ,EVENT
"-122.8434173,45.5203665",GEOLOCATION
What time will the game in the Meadowlands let out on Monday?,NONE
 8595 View Drive Patchogue 11772,ADDRESS
ETH Zurich,PLACE
Directions to my office,ROUTE
 7490 Street Elmont 11003,ADDRESS
How do I get to EDC this weekend from mom's house,ROUTE
I feel like hiking tomorrowWhere can I go,NONE
the quickest route to park from here,ROUTE
"55.796339,37.938199",GEOLOCATION
"311 RT 9W, Glenmont NY 12077",ADDRESS
Which restaurants are near me now,PLACE
 district walking,AREA
Free events in NJ today,EVENT
"41.64296,-87.62576",GEOLOCATION
Can you tell me the directions to get from Canton to Cambridge that is easy to follow,ROUTE
"I need to know the best wineries to visit in Dundee, Oregon this weekend",NONE
what is the longest river in california,PLACE
Gas stations with showers on I85 open after midnight,PLACE
"Jeollabuk-do, Gimje-si",ADDRESS
How many of my relatives are going to the family reunion this year?,NONE
How many of my dog sledding friends are doing the Iditarod this year?,NONE
Men's clothing stores in Houston,PLACE
what is the highest point in iowa,AREA
trampoline parks that will be open on Christmas Day,PLACE
University of Canterbury,PLACE
Game,NONE
adult only events in hollywood this month,EVENT
What time does my Dr office open on fridays,NONE
Directions to the children's hospital in downtown Jacksonville from Saint Augustine Shores.,ROUTE
Directions to the mall,ROUTE
Morgan Library and Museum,PLACE
Agoura High School,PLACE
"Rembrandtplein 26, 1017 CV, Amsterdam, Netherlands ",ADDRESS
Where can i find a nike and and adidas store along my route,PLACE
Where in New York City can I get a diamond ring?,PLACE
What detours will get me to the Rose Garden before 5?,ROUTE
turn off my house heat,NONE
shows,EVENT
What tech companies can my son work for at 18?,NONE
what is the highest point of the state with the largest area,AREA
How many of my friends have iphones?,PLACE
what states border indiana,AREA
Is Soaring Ridge releasing any new beers this month in Roanoke,NONE
any open karaoke bars tonight,PLACE
what is the area of florida,AREA
How late is Pinheads open on Thursday,NONE
dance clubs near me,PLACE
What kind of flowers did you plant?,PLACE
Raleigh–Durham International Airport,PLACE
name all the rivers in colorado,PLACE
Any concerts featuring classical music near me,EVENT
what is the biggest city in wyoming,AREA
"150 Gold Star Hwy, Groton CT 6340",ADDRESS
best dance clubs in charlotte,PLACE
the best places to watch a night sky of O.C,PLACE
Best route to take to get from Lily's As Seen on TV to Beehive at 12 pm.,ROUTE
Anything cool happening in my neck of the woods,EVENT
how many people live in chicago,NONE
The model casting call is too far from me,NONE
Where is a BBQ restaurant in Portland,PLACE
Any christmas lights displays open to the public nearby,EVENT
baby shower,NONE
send out an email to family for next weeks events,NONE
"52.3702, 4.89917",GEOLOCATION
When is the earliest the clubs open in Las Vegas,PLACE
Where can i find a nike and and adidas store close to each other,PLACE
Any good museum for kids in New York,PLACE
any parades this weekend,EVENT
food festival,EVENT
 neighborhood pubcrawling,AREA
what states border texas,AREA
Whats the driving directions to the Deals near downtown,ROUTE
lunch place for family,PLACE
anything cool happening tomorrow,EVENT
Dog park closest to me,PLACE
 store of second hand goods,PLACE
Any concerts this weekend,EVENT
Wine tastings place,EVENT
 events for planting ,EVENT
Quickest route from airport to seoul,ROUTE
Anything cool happening in Brooklyn tonight,EVENT
"Wedding reception venues in Greenville, SC available during the holidays",PLACE
Westlake High School,PLACE
Dog park closest to me,PLACE
Any classical performances  this weekend,EVENT
What is the distance to the sun,PLACE
what is the smallest state through which the longest river runs,AREA
what states border states which the mississippi runs through,AREA
Directions to the University of Michigan.,ROUTE
what are the major cities in new york,AREA
Shopping area,AREA
When does Dunkin Donuts come out with their Christmas flavors,NONE
what is the capital of colorado,AREA
"-122.7508264,45.5058838",GEOLOCATION
Can you help me report a driver next to me that is texting while driving,PLACE
 concerts coming town weekend,EVENT
Any events at The Point,EVENT
Has Nate communicated with his sister since December of 2015?,NONE
rate,NONE
Where can I get a live Christmas tree,NONE
Use Bluetooth for cell,NONE
"-122.7974803,45.4743953",GEOLOCATION
any circuses in atlanta this week,EVENT
What is the name of the movie that my sisters were in,PLACE
University of Washington,PLACE
"""41.54888,-87.40391""",GEOLOCATION
Nice café near central park,PLACE
United Kingdom,AREA
Where can I get some authentic pork buns,PLACE
Karaoke clubs open on weekends in Tyler,PLACE
any comedy shows to go to on saturday,EVENT
"	Shivam apartments , 2nd floor , flat number 203",ADDRESS
"-122.8103763,45.46698",GEOLOCATION
best route to work,ROUTE
Which countries established colonies in Canada?,NONE
something to sightseeing,PLACE
what is the largest state in the us,AREA
What's the fastest way home from here,ROUTE
apple products,PLACE
what is the biggest capital city in the us,AREA
"10040 County Road 48, Fairhope AL 36533",ADDRESS
Adults only events on Friday,EVENT
how many days am I scheduled to work this month?,PLACE
Directions home from Storybook Land in NJ.,ROUTE
How far is it from here to Club Northwest?,NONE
When was the last time Angie posted something,PLACE
Has Kerry return from her 2 week vacation in Spain?,NONE
Is Tasha in my church group?,NONE
"41.9325,-87.8025",GEOLOCATION
what is at Invalidenstrasse,NONE
WalMarts open after midnight that have a bank near me,PLACE
 friends,NONE
"Stadhouderskade, 7, 1054 ES, Amsterdam, Netherlands ",ADDRESS
how many people live in austin,NONE
Next flight to Paris,NONE
How far is Numbers from me,PLACE
way to go to airport from current location,ROUTE
Where is the nearest beach,PLACE
I need some romantic restaurant suggestions for Saturday night,PLACE
name the states which have no surrounding states,AREA
"car drives 30 miles per hour for 2 hours, how far has it driven",PLACE
Things to do in Santa Cruz on Saturday,EVENT
Why did Coolidge not attend law school?,NONE
Which of my friends are likely to go to the Pens game tomorrow?,PLACE
When does the Mardi Gras parade finally reach Bourbon St?,PLACE
how can I get to town safely on back roads,ROUTE
What time does my mom's flight arrive today?,PLACE
Fox Theatre,PLACE
Fun events to take a date next weekend in Kansas City,EVENT
What Time does Taco bell Open Near me,NONE
in which state is rochester,AREA
Family Museums in Las Vegas,PLACE
truck rally,EVENT
any concerts by melanie martinez soon,EVENT
What's the fastest route to the book signing at Barnes and Noble?,ROUTE
hotel near city center,PLACE
"-122.8052512,45.4659422",GEOLOCATION
"Museums in Greenville, SC open on Saturday",PLACE
Can you give me directions from Rocky Top Medical Center to the nearest dinner show on the Parkway in Pigeon Forge?,ROUTE
Indian restaurants within 20 miles of here,PLACE
"297 Grant Avenue, Auburn NY 13021",ADDRESS
 coffee house,PLACE
dance clubs in The Venetian,PLACE
Search coworkers for a chili recipe for football game days.,NONE
directions from mcallen to waco,ROUTE
Where did I store all my photos of my second trip to London,NONE
best route to go to the giants game tonight,ROUTE
any live comedy shows in kona this weekend,EVENT
"139 Merchant Place, Cobleskill NY 12043",ADDRESS
Autropolic chic,NONE
spots,NONE
Margaret Mitchell House & Museum,PLACE
Directions to Nebraska tomorrow,ROUTE
time,NONE
 35 York Road London 8HK,ADDRESS
"43.488936, 124.500423",ADDRESS
Where is the closest indoor waterpark near me that is open this month,PLACE
"495 Flatbush Ave, Hartford CT 6106",ADDRESS
what are the major cities of the united states,AREA
art galleries near me,PLACE
 cocktail bars,PLACE
Laptop places nearby,NONE
How do I get to Wrigley Field from State and Washington in Chicago?,ROUTE
plant,NONE
Tarot readings affordable,PLACE
"""41.4736551,-87.3215155""",GEOLOCATION
where is the neighborhood for living,AREA
Any fun Arizona events this weekend,EVENT
what are the major cities in texas,AREA
What pet friendly restaurants are located in Baltimore's Inner Harbor?,PLACE
Is there anything going on in 2 days,EVENT
"Jeollabuk-do, Gochang-gun",ADDRESS
Christmas tree lots near me,PLACE
what is the area of the state with the smallest population density,AREA
Are any new local stores opening this week,PLACE
what capital city of brazil?    ,AREA
Can you give me directions to the Huntington Dog Beach via the I-5?,ROUTE
"1970 S University Blvd, Mobile AL 36609",ADDRESS
Where is the best mall nearby,PLACE
Directions to the Fort in Hull from The Nantasket Hotel,ROUTE
United States Postal Service,PLACE
Sierra Club,PLACE
Can you give me directions to the Dallas Courthouse on Commerce Street from my house with no toll roads?,ROUTE
Anything cool happening this weekend,EVENT
Are there other routes to Charleston that do not take the interstates that will get me there by 9pm tonight?,ROUTE
 birthday party week,NONE
what is the area of idaho,AREA
can you tell me the quickest way to get to forest lake from cambridge,ROUTE
 way traffic River Mall,ROUTE
what route should I take to work to avoid traffic,ROUTE
HarbourFront Ferry Terminal,PLACE
"677 Timpany Blvd, Gardner MA 1440",ADDRESS
what is the longest river in the us,PLACE
Deitch Projects,PLACE
 places holiday photos,NONE
Any cocktail party around here,EVENT
24 hour Plumbers near Houston,PLACE
"233 5th Ave Ext, Johnstown NY 12095",ADDRESS
Are there any kid friendly event to go to tomorrow,EVENT
"200 Sunrise Mall, Massapequa NY 11758",ADDRESS
"41.850771,-87.648833",GEOLOCATION
Can you give me directions from here to the Renaissance Faire in Concord?,ROUTE
what is the largest state traversed by the mississippi river,AREA
flight,NONE
When does Game of throwns return?,NONE
district 9,AREA
Any Holiday events for children,EVENT
How have you been my friend,NONE
what restaurants are open on Christmas around here,PLACE
Lafayette Elementary School,PLACE
Restaurants with high rates,PLACE
Any Thomas Rhett concerts this month,EVENT
Disneyland in Tokyo,PLACE
Nail salons open near Vancouver tomorrow at 9am,PLACE
the capital of Tibet,AREA
turn off my house heat,NONE
Directions to Georgia from Atlanta,ROUTE
"""41.893389,-87.6324851""",GEOLOCATION
Any plays coming to Memphis in December,EVENT
What's there to do late on Friday night,EVENT
Directions to the mall,ROUTE
what is the largest state bordering texas,AREA
Most popular night clubs in San Antonio,PLACE
Can I get from here to Boise sometime this afternoon?,ROUTE
any cat shows in Atlanta soon,EVENT
What museums are open,PLACE
Where is the nearest CVS?,PLACE
Any fun festivals going on this week,EVENT
Jewish Museum,PLACE
Can you get me directions to the Katy Perry concert from Ankeny,ROUTE
"37.530492, 127.123837",GEOLOCATION
 route house,ROUTE
Is there a pub in Houston serving mulled wine for the holidays,PLACE
High school drama,NONE
"41.7254468,-87.6923169",GEOLOCATION
"-122.8071973,45.4831202",GEOLOCATION
What's my fastest route to the arena,ROUTE
International Center of Photography Museum,PLACE
Any art events going on in the next week,EVENT
what is the largest city of kansas,AREA
San Diego clubs that are open right now,PLACE
Cyprus,AREA
"Directions to Petco closest to me, where I do not have to go on John Young Parkway",ROUTE
"""41.83445,-87.67096""",GEOLOCATION
Who wished me happy birthday last year?,NONE
What's the best way to get to 6 flags tomorrow morning,ROUTE
"69 Prospect Hill Road, East Windsor CT 6088",ADDRESS
shops nearby Grand Central Terminal,PLACE
Directions to the circus near my brothers home.,ROUTE
Any live music events on friday,EVENT
Any holiday event I should know about,EVENT
"-122.8062412,45.4982519",GEOLOCATION
What's the fastest route to the DMV if I want to get there before 3PM?,ROUTE
where is mount whitney,AREA
sports bars near me,PLACE
car rental in Jeju island,PLACE
what is the area of ohio,AREA
what is the quickest way to work this morning,ROUTE
parties for birthday,EVENT
 Direction avoiding 15,ROUTE
directions to denver with least amount of traffic,ROUTE
"Next weekend I want to play miniature golf, locate",NONE
anything dog-related happening this week,EVENT
Flower house where I can buy house plants,PLACE
Which beach is the most beautiful in Maui,PLACE
Who made an event to climb in Squamish this summer?,NONE
fast food open late,PLACE
New stores in town,PLACE
what states border the state with the most major cities,AREA
 neighborhood,NONE
Can you get me directions to Louisa's apartment from work avoiding the freeways?,ROUTE
what is new fashion,NONE
"Directions to the nearest mall, from work.",ROUTE
cheap place for lunch,PLACE
any horse shows happening this weekend in new hampshire,EVENT
best route to Niagara falls that avoids tolls,ROUTE
 building landmark,NONE
"41.63892365,-87.60726929",GEOLOCATION
"8551 Whitfield Ave, Leeds AL 35094",ADDRESS
What are some special deals for round trip airlines to Puerto Rico,NONE
Search coworkers,NONE
Who is going on the High Adventure scout trip with my son?,NONE
John Wayne Airport,PLACE
"13858 Rt 31 W, Albion NY 14411",ADDRESS
Are there any dog related activities in the Bay Area tomorrow,EVENT
"flat no 102 , habitat havens plot no 835",ADDRESS
Directions to my densist,ROUTE
"10401 Bennett Road, Fredonia NY 14063",ADDRESS
 authentic pizza places,PLACE
Fastest route to Cedar Rapids,ROUTE
what cities in california,AREA
walmart customers service,PLACE
directions to paramount hotel avoiding flooding from lizzys market,ROUTE
what is the capital of pennsylvania,AREA
best place to take the family this weekend,PLACE
 comedy shows in London,EVENT
Family restaurants near Chicago Water tower,PLACE
"52.1772, 4.29517",GEOLOCATION
"6140A Univ Drive, Huntsville AL 35806",ADDRESS
nice hotel,PLACE
what is the smallest state that borders the most states,AREA
movie theaters,PLACE
cartoon Cable channels,NONE
Where is the area for shopping,AREA
Cut your own tree farms in hillsboro oregon open tonight,NONE
Directions to home with a stop at my credit union on the way,ROUTE
Is there a sushi place open at this time,PLACE
best wineries for white wine in Napa,PLACE
What type of weather will my sister be having at the end of the month?,PLACE
"515 Sawmill Road, West Haven CT 6516",ADDRESS
Grocery stores near Miami,PLACE
Top glamping locations,PLACE
"37.51462, 127.106141",GEOLOCATION
Any live jazz around here,EVENT
what is the capital of indiana,AREA
any anime concerts soon,EVENT
"Directions to Sunrise Nursing Home in Mount Vernon, NY.",ROUTE
best outdoor Las Vegas venue for concerts,PLACE
Any HIP HOP concerts this month,EVENT
ZB Football events,EVENT
best place to have margaritas,PLACE
Directions to gas station near me,ROUTE
what states border states that border mississippi,AREA
Any good wine bars in Amsterdam for tomorrow night,PLACE
How many of my friends went to an Atlanta Braves game last year?,NONE
Nail salons in New Orleans open on the weekend,PLACE
Which route to work has the least traffic,ROUTE
Which route would be the shortest to get to work,ROUTE
Good pizza places in Philly,PLACE
Albuquerque Balloon Fiesta Kids Free Admission day and info,EVENT
"Is the Gulfarium closed for Christmas and if so, when will it reopen",PLACE
"Comedy stores in Nashua, NH open this weekend",PLACE
Family restaurants near Chicago Water tower,PLACE
Food in Lynchburg,PLACE
what is the biggest state in continental us,AREA
"601 Frank Stottile Blvd, Kingston NY 12401",ADDRESS
"-122.8371401,45.4346624",GEOLOCATION
walmart customers service,PLACE
 route college avoid traffic,ROUTE
what are the states that the potomac runs through,AREA
"""41.9666889,-87.8387753""",GEOLOCATION
Museum district in Chicago,AREA
 parades month,EVENT
 47.293228 5.004570,GEOLOCATION
what is the capital city of the largest state in the us,AREA
which park around the lake is nearest from Zurich,PLACE
Where can I find an event coordinator near wine country,PLACE
sporting events on sunday,EVENT
where is austin,AREA
what's the fastest route to Oceanside Harbor right now,ROUTE
Sacramento Zoo,PLACE
How long was Eisenhower in office,PLACE
what is the capital city in texas,AREA
Best restaurant in Chicago,PLACE
direction toward local train museum,ROUTE
Costume parties,EVENT
skating,NONE
Fusion Arts Museum,PLACE
Is the Reading Festival canceled due to flooding on Friday on the main drag between Carlyle and the connecting ramp to the Trunk Road/Highway?,NONE
what is the highest mountain in us,PLACE
Best places for Sunday brunch,PLACE
"-122.7624444,45.484507",GEOLOCATION
cooking workshops in noho,EVENT
Museum of Beautiful People,PLACE
Where was the last place my cousin visited in the United States?,PLACE
what is the smallest city in arkansas,AREA
Directions to home with a stop at my credit union on the way,ROUTE
any live comedy nearby,EVENT
"35.067224, 127.751271",GEOLOCATION
The route from parade platz to Peter's home,ROUTE
When is my sister's graduation?,NONE
what are the major lakes in united states,PLACE
marathons in Paris,EVENT
any volleyball tournaments in arlington,EVENT
How much does it cost to get a passport,NONE
quiet restaurants in Houston on the weekends,PLACE
any concert presales going on at the BJCC,EVENT
"37.518421, 127.047222",GEOLOCATION
Best restaurants with Live music in LA,PLACE
Anything cool going on next weekend,EVENT
is there live reggae in Whittier next weekend,EVENT
Where are the best apple pies made in Blakely,PLACE
Direct me to Bob's house,ROUTE
activity for kids,EVENT
Can you show me any of my friends that are following Daryl's band?,PLACE
what is the area of california,AREA
Any music events for tomorrow,EVENT
Things to do in SF next week,EVENT
 neighborhood partying,AREA
outdoor dining in miami,PLACE
What's the shortest route to center city right now,ROUTE
Find helicopter flights in Maui in October,NONE
Best hotels in Nebraska that are available tomorrow,PLACE
Vanderlann Peak,PLACE
"Get me home, quick",ROUTE
Rockefeller Center,PLACE
Best honky tink bar in Nashville,PLACE
