Query,Category
When do I need to buy  christmas groceries,NONE
What's there to do late on Friday night,EVENT
What's the shortest route to the hospital in Lake Nona,ROUTE
what's the quickest route,ROUTE
What's the fastest way to get home tonight,ROUTE
Whats the fastest route to my sister's house?,ROUTE
what's the fastest route home,ROUTE
what's the fastest route,ROUTE
Whats the driving directions to the Deals near downtown,ROUTE
What's the best way to get to 6 flags tomorrow morning,ROUTE
What's the alternate route to the hickey game in tacoma,ROUTE
What's my fastest route to the arena,ROUTE
What's happening this weekend,EVENT
What's happening in Milton tomorrow night,EVENT
What's happening in Atlanta tonight,EVENT
What's going on in Raleigh next week,EVENT
What's going on beachside,EVENT
What's fun to do right now,EVENT
what would be the best route to nashville tuesday at 9 am,ROUTE
What was the year,NONE
What type of weather will my sister be having at the end of the month?,NONE
What time will the game in the Meadowlands let out on Monday?,NONE
What time does tomorrow's game start?,NONE
What time does my Dr office open on fridays,NONE
What time does McDonald's close,NONE
What routes can I take to get to the Civil Right's Museum in Memphis?,ROUTE
What route will how the least traffic delays at this time to reach Waterford Lakes Town Center from my house,ROUTE
what route should I take to work to avoid traffic,ROUTE
What route should I take to get to school today,ROUTE
What route doesn't have traffic,ROUTE
what restaurants stay open late near my office,PLACE
what restaurants are open on Christmas around here,PLACE
What restaurants are nearby for me to eat at tonight,PLACE
What restaurants are having speed dating in Greenville,PLACE
What musical is coming to New York this summer,EVENT
What kind of flowers did you plant?,NONE
What kind of family events are happening in Henderson this month,EVENT
What kind of events are happening today,EVENT
What is there to do in Miami today,EVENT
What is the simplest way to get from Las Vegas to San Diego without going through Los Angeles?,ROUTE
What is the shortest route to Austin,ROUTE
"What is the shortest route home from Camelback Lodge in the Poconos, leaving at 11am?",ROUTE
what is the quickest way to work this morning,ROUTE
what is the quickest route to work,ROUTE
What is the quickest route home with the least amount of traffic,ROUTE
What is the longest event tonight,EVENT
What is the flea market ,PLACE
What is the fastest route to Volcano Bay,ROUTE
What is the fastest route to the Philadelphia Zoo,ROUTE
What is the fastest route to the grocery store,ROUTE
"What is the fastest route to Seattle, Washington from my home?",ROUTE
What is the fastest route to Seaside using state highways,ROUTE
What is the fastest route to my house,ROUTE
What is the fastest route to get to Merrick Brickell Place,ROUTE
what is the fastest route to columbia on friday afternoon taking into consideration rush hour,ROUTE
What is the fastest route on the freeway to get to LAX?,ROUTE
What is the fastest route from here to NY,ROUTE
What is the closest theater to me,PLACE
What is the closest nightclub that has dancing,PLACE
what is the clearest road on the way to work,ROUTE
what is the best way to go to progressive field,ROUTE
What is the best way to get to the art festival by bicycle tonight?,ROUTE
What is the best way for me to get to the AT&T center?,ROUTE
What is the best route to work this morning to avoid traffic,ROUTE
"what is the best route to Tampa, FL from here avoiding toll roads",ROUTE
What is the best route to San Diego without toll roads if I leave at 5 in the morning?,ROUTE
What is the best route to drive home with the traffic,ROUTE
What is required to obtain a driver licence at the age of 17 in Texas?,NONE
What is on broadway right now,EVENT
what is new fashion,NONE
what is new,NONE
What is my commute to work today,ROUTE
What is happening in Boston tomorrow night,EVENT
What is going on tonight in Melbourne,EVENT
what is at Invalidenstrasse,NONE
what is at Invalidenstrasse & Chausesstrasse intersection,NONE
What is a back road from I 680 to my work,ROUTE
What holiday activities are going on this weekend,EVENT
what happening in rome this week,EVENT
What events in New York next week,EVENT
What events are happening next week,EVENT
what events are going on at the mission inn,EVENT
What does my day look like,NONE
What DJ available is available near me in 2 months,NONE
What detours will get me to the Rose Garden before 5?,ROUTE
What day is the shortest day of year,NONE
What city has the most traffic in the US,NONE
What are things to do in Miami with family on New Year's eve,EVENT
What are the upcoming food festivals near me,EVENT
What are the routes to Pigeon Pass Road in Moreno Valley from Thomas' house?,ROUTE
What are Jennifer's performance dates in May?,NONE
we going we can but we leaving that?,NONE
way to the museum from home,ROUTE
way from busan to seoul,ROUTE
way to go to airport from current location,ROUTE
fastest way to highway from here,ROUTE
Was my cousin Carlton featured in the local news piece on that mass shooting?,NONE
WalMarts open after midnight that have a bank near me,PLACE
walmart customers service,PLACE
restaurant with nice views ,PLACE
Viewpoints for airplane,PLACE
viewings event for local food,EVENT
video,NONE
vegan restaurants open right now in Manhattan,PLACE
Vegan restaurant near Orlando open today,PLACE
Valentines day restaurant suggestions,PLACE
valentines day dinner restaurants,PLACE
U2,NONE
turn off my house heat,NONE
truck rally,EVENT
trampoline parks that will be open on Christmas Day,PLACE
top restaurants in Manhattan,PLACE
top golf Detroit,PLACE
Toilet paper brands,NONE
time,NONE
Things to do in SF next week,EVENT
Things to do in Santa Cruz on Saturday,EVENT
Things to do in Portland tonight,EVENT
Things to do in North Phoenix this week,EVENT
things to do in manchester in the month of december,EVENT
things to do in Anaheim,EVENT
Things to do downtown tomorrow,EVENT
Things going on in Ft Worth this weekend,EVENT
theaters,PLACE
The route from parade platz to Peter's home,ROUTE
The model casting call is too far from me,NONE
The Bluegrass club is crowded,PLACE
the best resturants near me,PLACE
the best restaurant nearby,PLACE
the best places to watch a night sky of O.C,PLACE
"Thai restaurants open on Sunday in Greer, SC",PLACE
tennis shoes,NONE
"Technisches Informationszentrum Berlin, Gitschiner Straße 97, 10969 Berlin ",ADDRESS
Tarot readings affordable,PLACE
Take me to the nearest recreational center,ROUTE
Taco trucks in Upstate SC available after 5 pm,PLACE
Swimming pool with Sauna,PLACE
Surfing area in Long beach,AREA
suggestion,EVENT
Ste B,NONE
Starbucks near me open late,PLACE
"Stadhouderskade, 7, 1054 ES, Amsterdam, Netherlands ",ADDRESS
spots for soccer place,PLACE
spots,NONE
sports bars open tonight past 10 pm,PLACE
sports bars near me,PLACE
sporting events on sunday,EVENT
sporting events in Johnson city this weekend,EVENT
Sport equipment rental in Orlando,PLACE
Special Events this week in Scottsdale,EVENT
south wenthwiSouth Wentworth Avenue,NONE
thai soup,PLACE
some place for pizza,PLACE
something to sightseeing,PLACE
skating,NONE
sisters,NONE
singles events,EVENT
signing events,EVENT
sign,NONE
sights,NONE
shows,EVENT
Show me where my friends like to travel,NONE
Show me a route from the Baltimore to Ferris processing in Detroit,ROUTE
Shortest route to Des Moines,ROUTE
Shortest route from Putnam to Westchester,ROUTE
shops,PLACE
Shopping area,AREA
service center,PLACE
Seattle area,AREA
search for magic shows coming next week,EVENT
Search coworkers for a chili recipe for football game days.,NONE
Search coworkers,NONE
school district in this city,AREA
high school,PLACE
sale events for jcpennys this week,EVENT
Routes,ROUTE
Route me to work,ROUTE
Route drive to work with least traffic,ROUTE
route downtown,ROUTE
route alternative,ROUTE
route for accessing high way,NONE
Route from train station to city center,ROUTE
ice rinks,PLACE
retail stores open later during Christmas week in Manhattan,PLACE
"Restrooms open to the public in Spartanburg, SC 24 hours",NONE
Restrooms,NONE
restaurants near chicago mercantile,PLACE
restaurants near briar street theater,PLACE
Korean Restaurants,PLACE
Chinese restaurants,PLACE
Indian restaurants,PLACE
restaurants for Swiss cuisine,PLACE
restaurants with less customers,PLACE
Restaurants with high rates,PLACE
Restaurants for Michellen stars,PLACE
fancy restaurants,PLACE
restaurant open near me,PLACE
restaurant nearby,PLACE
Reservation,NONE
"Rembrandtplein 26, 1017 CV, Amsterdam, Netherlands ",ADDRESS
Recommend events in New Haven today,EVENT
rate,NONE
quiet restaurants in Houston on the weekends,PLACE
Quickest route to gas station,ROUTE
Quickest route from airport to seoul,ROUTE
quality hotel,PLACE
Province for winery in Italy,AREA
Price of gas locally,NONE
Price,NONE
Post office where opens on Sunday,PLACE
popular spots to propose,NONE
popular music bar in Nashville,PLACE
Please give me directions to the concert and avoid all construction,ROUTE
Please give me a route to work with the least amount of traffic,ROUTE
plant,NONE
Places to visit in Lahaina,PLACE
places to visit in Boston,PLACE
places to take my dog,PLACE
Places to eat sushi in Montana,PLACE
Places to eat near me,PLACE
Places to eat in West Hollywood tonight,PLACE
Places to eat in Santa Monica tonight,PLACE
Places to eat in Beverly Hills tonight,PLACE
Places to eat in Austin in July,PLACE
Places to eat,PLACE
Places near me that can do an outdoor wedding,PLACE
places for food,PLACE
place for walk,PLACE
Pizzerias open in Manhattan at 1am tonight,PLACE
"Piano Bars in Lynchburg, Va",PLACE
pharmacy,PLACE
Pet friendly restaurants near me,PLACE
"Pet friendly and kid friendly parks in Sacramento, CA",PLACE
people,NONE
path for walk in city,ROUTE
party planner available next month,NONE
X-mas parties,EVENT
Costume parties,EVENT
parties for Halloween ,EVENT
parties for birthday,EVENT
parties for LGBT,EVENT
parking garages,PLACE
parking place near museum,PLACE
parking lots nearby,PLACE
parking for short time,PLACE
parade,NONE
parade starting location,PLACE
paper brands,NONE
painting event place,EVENT
PAC events this week,EVENT
"Oudekerksplein 23, 1012 GX Amsterdam, The Netherlands",ADDRESS
open Waze navigation,NONE
Office buildings,AREA
"nightclubs in Manchester, NH that are open on a Sunday night",PLACE
Next flight to Paris,NONE
New York City,AREA
New stores in town,PLACE
new restaurants in Kirksville,PLACE
new restaurants downtown,PLACE
Neighborhoods for rich people,AREA
neighborhood for offices,AREA
neighborhood in London,AREA
nearby hair salons with available appointments for this weekend,PLACE
NATO headquarter,PLACE
Nail salons open near Vancouver tomorrow at 9am,PLACE
Nail salons in New Orleans open on the weekend,PLACE
musicals,EVENT
music venues,EVENT
Music stores in San Leandro,PLACE
Music lunches,EVENT
Music events in Lynchburg this month,EVENT
music bar,NONE
Museums near me,PLACE
Museums near Atlanta,PLACE
"Museums in Greenville, SC open on Saturday",PLACE
museums in downtown Las Vegas,PLACE
Museum district in Chicago,AREA
movie theaters,PLACE
moon,NONE
Mommy-and-me events near Dallas,EVENT
"Mohrenstrasse 37, 10117 Berlin",ADDRESS
Mexican restaurants to eat in Los Angeles tonight,PLACE
Mexican restaurants open late,PLACE
Mexican restaurants nearby,PLACE
metal concerts,EVENT
Men's clothing stores in Houston,PLACE
Meetups for photography,EVENT
Meetups for IT,EVENT
marathons in Paris,EVENT
Macy's store hours,NONE
lunch place,PLACE
restaurant for lunch,PLACE
lunch place for family,PLACE
small café for lunch,PLACE
lunch nearby,PLACE
cheap place for lunch,PLACE
lunch and brunch place in the corner,PLACE
locations for dinner,PLACE
Local museums near Branson,PLACE
Local events halls that have their own dj,PLACE
Local child friendly restaurants in Los Angeles open at 7 am,PLACE
Live music in town,EVENT
Lithuanian food restaurants in battle ground,PLACE
List excursions from Denver next week,EVENT
line stations,PLACE
"Laundromats in Taylors, SC open on Sundays",PLACE
late-night bars Chicago north shore,PLACE
Laptop places nearby,NONE
lake area,AREA
Kreis 7 in Zurich,AREA
korean restaurant near me,PLACE
kids stuff,EVENT
kids events,EVENT
Kids activities,EVENT
Kid friendly events in LoDo in December,EVENT
Karaoke clubs open on weekends in Tyler,PLACE
Jose maysonet,NONE
Job fairs downtown in the next two months,EVENT
"Jeollabuk-do, Namwon-si",ADDRESS
"Jeollabuk-do, Gunsan-si",ADDRESS
"Jeollabuk-do, Gochang-gun",ADDRESS
"Jeollabuk-do, Gimje-si",ADDRESS
jazz clubs near me,PLACE
Japanese fast food restaurants serving sushi on Sundays near me,PLACE
Italian restaurants in Scranton,PLACE
italian Food in Mililani,PLACE
Island for scuba diving,AREA
Is Yosemite open for the season and can I camp there?,NONE
is there live reggae in Whittier next weekend,EVENT
Is there anything to do tomorrow in Cheyenne,EVENT
Is there anything going on in 2 days,EVENT
Is there anything fun to do in Atlanta next week,EVENT
is there any craft fairs this weekend in portland,EVENT
Is there any bus route to Publix from my location,ROUTE
Is there a Silver Alert,NONE
Is Soaring Ridge releasing any new beers this month in Roanoke,NONE
Indian restaurants within 20 miles of here,PLACE
Ice skating rinks in Washington D.C,PLACE
ice skating rinks in new jersey,PLACE
Ice skate rink hours  for Sunday December 9th,PLACE
ice,PLACE
i want my money back ndvdr send her around me again  ever i ride to munch for th,NONE
I need help getting to Unisys today at 3pm,ROUTE
I need a reservation at 8 pm for a 12 person dinner,NONE
I feel like hiking tomorrowWhere can I go,NONE
https,NONE
How to get to Mt Rainier,ROUTE
How old is my house on Holbrook Street,NONE
How much are tickets to see U2 at the BOK,NONE
How many times have the Red Sox had a no-hitter?,NONE
How many times have I scheduled coffee dates with Lydia?,NONE
How many times has my father viewed the video he sent us?,NONE
How many places were visited by mom and dad last 2 years?,NONE
How many movie theaters are there in Cedartown?,NONE
How long until Carol gets back to me?,NONE
How long until Carol gets back to me?,NONE
how far away is moon to earth,NONE
How does a school bus driver who drives more than one route not get  confused of where to go and drop kids off?,NONE
How do I get to Wrigley Field from State and Washington in Chicago?,ROUTE
How do I get to the Volkswagon car show from Andrew's work using the freeway.,ROUTE
How do I get to EDC this weekend from mom's house,ROUTE
How do I get from here to the car dealership on Commercial where I bought my car?,ROUTE
how can I get to town safely on back roads,ROUTE
How can I get to Manhattan by 7 and avoid construction,ROUTE
How can I drive to Beth's house without driving on a highway?,ROUTE
hours,EVENT
Hottingen district,AREA
"Hotels with complimentary concierges in Greenville, SC",PLACE
cheap hotel,PLACE
nice hotel,PLACE
hotel near city center,PLACE
holiday parties,EVENT
Holiday festivals near me today,EVENT
Holiday events,EVENT
holiday concerts,EVENT
Has Nate communicated with his sister since December of 2015?,NONE
Has Kerry return from her 2 week vacation in Spain?,NONE
Happening in Waikiki now,EVENT
Haitian restaurants  not too far away but also parts of city that opens 24 hours,PLACE
Gyungnam Province in South Korea,AREA
Grocery stores open late,PLACE
Grocery stores near Miami,PLACE
Grocery stores in area,PLACE
"Grimnitzer Str 11, 16247, Joachimsthal ",ADDRESS
Greenest neighborhoods,AREA
Greenest neighborhoods,AREA
Greenbag Road - 63 Don Knotts BlvdMorgatown,NONE
"Greenbag Road - 63 Don Knotts BlvdMorgaown, Chicago",NONE
gras parties,EVENT
graduation,NONE
Good salons not too far from my home,PLACE
Good pizza places in Philly,PLACE
Golf area in Vietnam,AREA
"Goethestraße 1, 07743 Jena ",ADDRESS
Give me the fastest route,ROUTE
give me suggestions on what to do this weekend,EVENT
Give me directions to the Imperial Theater in NYC leaving at 4pm,ROUTE
Give me directions to Guitar Center.,ROUTE
Gift wrapping service near me,PLACE
get me to the nearest walmart,ROUTE
Get me to downtown tampa now,ROUTE
Get me the fastest way from home to Dan's house without taking the freeway and avoiding toll.,ROUTE
"Get me home, quick",ROUTE
Get me driving directions to the Mac & Cheese Festival in San Francisco.,ROUTE
Get me driving directions to the jazz festival in wadsworth,ROUTE
Get me driving directions to the candlelight walk in medina,ROUTE
get me driving directions to BB&T center in Sunrise,ROUTE
Get me driving directions to any Hispanic festival on main street from home?,ROUTE
Get me directions to the Florida Theater in downtown Jacksonville from Saint Augustine Beach.,ROUTE
get me directions to downbeach from mainland bridge at 4;46pm today,ROUTE
Get directions to Central Grocery in the French quarter in New Orleans from Paige's house in Opelousas.,ROUTE
Gas stations with showers on I85 open after midnight,PLACE
Gas stations,PLACE
gas station,PLACE
Game,NONE
Fun things coming up next month,EVENT
fun stuff for kids,EVENT
fun stuff in amusement part,EVENT
fun stuff in local market,EVENT
Fun events to take a date next weekend in Kansas City,EVENT
fun bars in Chicago near Wicker Park,PLACE
Free events on Christmas eve near me,EVENT
Free events in NJ today,EVENT
Free Christmas concerts in Waikiki next week,EVENT
Football games in England,EVENT
Football events in Spain,EVENT
ZB Football events,EVENT
Food trucks,EVENT
food near me,PLACE
food festivals,EVENT
food festival,EVENT
food events,EVENT
flight,NONE
fitness club near river,PLACE
Find route with least amount of traffic,ROUTE
find pictures of my family with scarves,NONE
Find music events in Montreal this weekend,EVENT
Find helicopter flights in Maui in October,NONE
festivals,EVENT
festival downtown,EVENT
"Feel tired, where to go",NONE
Fastest bus to Krogers,ROUTE
fast food open late,PLACE
fashion events,EVENT
fancy restaurants in Olean NY,PLACE
family-friendly restaurants near Lincoln Park Zoo,PLACE
Family-friendly Christmas Eve events in Raleigh,EVENT
Family themed restaurants with Thanksgiving reservations,PLACE
Family restaurants near Chicago Water tower,PLACE
family restaurants near brookfield zoo,PLACE
Family Museums in Las Vegas,PLACE
family friendly restaurants,PLACE
family friendly casinos in Las Vegas,PLACE
Family Friendly Branson events,EVENT
Family friendly bars near me,PLACE
excursions,EVENT
Events with easy access for the handicapped,EVENT
Events in St Augustine this weekend,EVENT
Events in LA on Saturday,EVENT
eve party,EVENT
"Europaboulevard 2b 1078 RV, Amsterdam, Netherlands ",ADDRESS
E-Sports bars near me that are open till midnight,PLACE
entrance,PLACE
email me a reminder for my event monday at 7am,NONE
driving directions from the Florida Mall to the Millennial Mall with no tolls,ROUTE
drive-in movie theaters left in the state of Ohio that are open in the fall,PLACE
dogs friendly place,PLACE
park for dogs,PLACE
Dog park closest to me,PLACE
dog bars in charlotte NC,PLACE
Do not wake me up this weekend,NONE
district 9,AREA
displays for music concert,EVENT
Disneyland Christmas Parade times and dates,EVENT
dishware shops,PLACE
directions to zacks,ROUTE
Directions to the University of Michigan.,ROUTE
directions to the nearest hospital that is less then 10 minutes away avoiding all traffic and construction,ROUTE
Directions to the mall,ROUTE
Directions to the Fort in Hull from The Nantasket Hotel,ROUTE
"Directions to Sunrise Nursing Home in Mount Vernon, NY.",ROUTE
Directions to my densist,ROUTE
directions to kate's school from the grocery store,ROUTE
Directions to home with a stop at my credit union on the way,ROUTE
Directions to Georgia from Atlanta,ROUTE
direction toward local train museum,ROUTE
did christina porter from high school join my volleyball group yet?,NONE
Dancing club within 10 miles to go to tonight,PLACE
dance clubs near me,PLACE
dance clubs in The Venetian,PLACE
country in California,AREA
costume parties,EVENT
cooking workshops in noho,EVENT
Concerts in Irvine tomorrow,EVENT
concerts by NKOTB this week,EVENT
classical music concerts,EVENT
concerts for hip-hop music fans,EVENT
concerts for Madonna,EVENT
concerts for children,EVENT
concerts,EVENT
church music concert,EVENT
concert for event,EVENT
Complimentary coffee nearby,PLACE
"Comedy stores in Nashua, NH open this weekend",PLACE
"comedy stores in Manchester, NH open tonight",PLACE
Comedians performing this weekend,EVENT
College district in NYC,AREA
Coffeshops,PLACE
coffee shop near me opening within a month,PLACE
coffee shop,PLACE
Coffee houses in Minneapolis,PLACE
coffee dates,NONE
Clubs to go in New York,PLACE
clubs that are open after midnight tonight,PLACE
Clubs in Savannah,PLACE
Closest mini golf course,PLACE
closest glow bowling place,PLACE
closest ER,PLACE
close,NONE
Christmas events in Medina tomorrow night,EVENT
Christmas events,EVENT
christmas concert events near me,EVENT
Christmas activities,EVENT
child and pet friendly places to eat locally,PLACE
check,ROUTE
Charity events happening in Atlanta this week,EVENT
Catholic Christmas masses in Central Jersey,EVENT
Catalina island diving area,AREA
Castles near me,PLACE
casinos with free parking in Henderson,PLACE
care clinic,PLACE
car,NONE
Can you tell me how to get to the baseball game at 4pm?,ROUTE
Can you tell me how to get to Sesame Street from Elm Street,ROUTE
Can you tell me directions to the Wal Mart on 103rd Street.,ROUTE
Can you tell me about events this weekend,EVENT
Can you suggest an event for me to go to,EVENT
Can you show me any of my friends that are following Daryl's band?,NONE
Can you see each other again?,NONE
Can you see each other again and what time,NONE
Can you give me directions to Walt Disney World avoiding toll roads.,ROUTE
Can you give me directions from Rocky Top Medical Center to the nearest dinner show on the Parkway in Pigeon Forge?,ROUTE
Can I sign up for flag football?,NONE
Can I get directions to the drive in theater in Lakeland,ROUTE
Calls for this afternoon,NONE
Calls,NONE
café for quite seats,PLACE
café in Vienna,PLACE
Cable channels,NONE
cartoon Cable channels,NONE
Buy tickets for ZooLights,NONE
bus stop in front of main station,PLACE
bus route for tourism,ROUTE
Breakfast restaurant,PLACE
Blackforest area,AREA
bicycle route,ROUTE
Best winery to visit in ridgefield,PLACE
Best winery in Colorado,PLACE
best wineries for white wine in Napa,PLACE
best sushi places on oahu,PLACE
best site seeing places available in Paris tomorrow,PLACE
best schools to attend in India's Neighborhood?,PLACE
Best route to avoid traffic going to the Camden aquarium,ROUTE
Best route to avoid congestion,ROUTE
Best restaurants with Live music in LA,PLACE
Best restaurants for date night on Saturday,PLACE
Best restaurants around please,PLACE
best restaurant near me,PLACE
Best restaurant in Chicago,PLACE
Best restaurant deals for tonight near me,PLACE
"Best places to go on New Year's Eve, please",PLACE
Best places for Sunday brunch,PLACE
best place to take the family this weekend,PLACE
Best place to shop for Christmas trees in St. Louis this weekend,PLACE
best place to nit,PLACE
best place to meet single guys near me,PLACE
Best place to hear jazz in New York,PLACE
best place to have margaritas,PLACE
best place to have a rueben,PLACE
best place to go for fun on Christmas Eve in California,PLACE
best place to go and have breakfast near me,PLACE
best place to eat soup,PLACE
Best place to eat at,PLACE
best place to eat a gyro near me,PLACE
Best place to eat a gyro,PLACE
best place to club in town,PLACE
best place to christmas shop near me,PLACE
BEST panorama view of the city,PLACE
Best neighborhoods to go trick or treating in on Halloween,AREA
Best microbrew in vancouver wa,PLACE
best mall nearby,PLACE
best hotspots in CityWalk,PLACE
Best hotels in Nebraska that are available tomorrow,PLACE
Best honky tink bar in Nashville,PLACE
best holiday shopping in new york,PLACE
Best club in Boston,PLACE
Best Caribbean restaurants near Montreal,PLACE
beach,PLACE
bars that allow dogs near charlotte,PLACE
Bars on Oahu,PLACE
Bar deals near me today,PLACE
baking places,EVENT
baby shower,NONE
Ave,NONE
Autropolic chic,NONE
auditions,NONE
art galleries that are open today,PLACE
art galleries near me,PLACE
Art galleries in Dallas open after 8 pm,PLACE
Art district in Chicago,AREA
Area for flying fishing,AREA
area 7 in Zurich,AREA
industrial area,AREA
area for gardening,AREA
Are there outdoor events nearby,EVENT
Are there any kid friendly event to go to tomorrow,EVENT
Are there any dog related activities in the Bay Area tomorrow,EVENT
Are there any cool events today,EVENT
are there any christmas events going on,EVENT
arcades within 20 miles of 29720,PLACE
apple store,PLACE
apple products,PLACE
anything to do this weekend,EVENT
anything going on in Long Beach on Monday,EVENT
Anything cool happening this weekend,EVENT
any roller rinks in town,PLACE
any restaurants in Chicago having specials for the holidays,PLACE
Any parties near Hayward this month,EVENT
any open karaoke bars tonight,PLACE
Any new auditions posted in the actors group?,NONE
any museum near me,PLACE
Any libraries open on the weekend in Hayward,PLACE
any kid friendly restaurants for breakfast tomorrow,PLACE
any kid friendly holiday events,EVENT
any interesting for Sunday,EVENT
Any ice carving events going on this weekend in CO,EVENT
any hotels with reasonable rates,PLACE
Any hotels left in vegas for new years eve,PLACE
any hiking trail close by,PLACE
any happy hours nearby now,EVENT
Any good wine bars in Amsterdam for tomorrow night,PLACE
Any good museum for kids in New York,PLACE
any good mexican restaurants near current location,PLACE
Any dine in movie theaters in Brooklyn,PLACE
Any cocktail party around here,EVENT
Any clubs that are open later than midnight in DC,PLACE
Any children's play centers near me open this weekend,PLACE
any camping sites near Philadelphia,PLACE
any Board and brush places in Florida,PLACE
any alternative bands playing in Atlanta this weekend,EVENT
And one West eating noise speed Chicago 3118 I know use ,NONE
And one West eating noise speed Chicago 311 Indy no use,NONE
amusement parks open this weekend,PLACE
Adults only events,EVENT
7217w ,NONE
"63 Avenue Jean Jaures 19 Arr. , 19th arr., 75019 Paris, France",ADDRESS
5 star restaurants accepting reservations for Valentine's day,PLACE
"43.488936, 124.500423",ADDRESS
"37.668952, 127.047082",GEOLOCATION
"37.654259, 127.056294",GEOLOCATION
"37.639938, 127.025508",GEOLOCATION
"37.589562, 127.0167",GEOLOCATION
"37.579428, 126.936771",GEOLOCATION
"37.574552, 127.039721",GEOLOCATION
"37.566953, 126.977977",GEOLOCATION
"37.566953, 126.977977",GEOLOCATION
"37.566283, 126.901644",GEOLOCATION
"37.563277, 127.036647",GEOLOCATION
"37.551166, 126.849506",GEOLOCATION
"37.538712, 127.082366",GEOLOCATION
"37.530492, 127.123837",GEOLOCATION
"37.526505, 126.89619",GEOLOCATION
"37.518421, 127.047222",GEOLOCATION
"37.517189, 126.866618",GEOLOCATION
"37.51462, 127.106141",GEOLOCATION
"37.510571, 126.963604",GEOLOCATION
"37.495632, 126.88765",GEOLOCATION
"37.483804, 127.032693",GEOLOCATION
"37.47829, 126.951502",GEOLOCATION
"37.456852, 126.895229",GEOLOCATION
"35.566702, 128.16587",GEOLOCATION
"35.544603, 128.49233",GEOLOCATION
"35.520541, 127.725177",GEOLOCATION
"35.503827, 128.746604",GEOLOCATION
"35.415544, 127.87349",GEOLOCATION
"35.335016, 129.037057",GEOLOCATION
"35.322198, 128.26174",GEOLOCATION
"35.272481, 128.40654",GEOLOCATION
"35.228678, 128.889352",GEOLOCATION
"35.227992, 128.681815",GEOLOCATION
"35.180313, 128.10875",GEOLOCATION
"35.067224, 127.751271",GEOLOCATION
"35.003668, 128.064272",GEOLOCATION
"34.972986, 128.322246",GEOLOCATION
"34.854426, 128.43321",GEOLOCATION
"34.837688, 127.892595",GEOLOCATION
"33.488936, 126.500423",GEOLOCATION
24 hour Plumbers near Houston,PLACE
24 hour gyms that offer day passes,PLACE
2014 ss theoo,NONE
19110 wenthwirSouth Wentworth Avenue,NONE
19110 south Wentworth Avenue,NONE
"19110 South Wentworth Avenue, NYC",NONE
"17 Boulevard Poissonnière, 2nd arr., 75002 Paris, France",ADDRESS
#1 nightclub in downtown Manhattan,PLACE
"""41.9666889,-87.8387753""",GEOLOCATION
"""41.9666889,-87.8387753""",GEOLOCATION
"""41.94727,-87.64976""",GEOLOCATION
"""41.94727,-87.64976""",GEOLOCATION
"""41.9466,-87.70731""",GEOLOCATION
"""41.9466,-87.70731""",GEOLOCATION
"""41.92957,-87.84615""",GEOLOCATION
"""41.9085327,-87.8351271""",GEOLOCATION
"""41.9085327,-87.8351271""",GEOLOCATION
"""41.893389,-87.6324851""",GEOLOCATION
"""41.893389,-87.6324851""",GEOLOCATION
"""41.87462,-87.73527""",GEOLOCATION
"""41.83845,-87.64627""",GEOLOCATION
