query,top_intent
"Hotels with complimentary concierges in Greenville, SC",UNSUPPORTED
WHAT TIME DOES THE BLUE BIRD OPEN NEXT FRIDAY,UNSUPPORTED
How many times have the Red Sox had a no-hitter?,UNSUPPORTED
When do I need to buy  christmas groceries,UNSUPPORTED
Find a family friendly venue for a party on Wednesdays,UNSUPPORTED
What are some popular places to take outdoor holiday photos within 30 miles of me,UNSUPPORTED
What time does my Dr office open on fridays,UNSUPPORTED
Are there any roller rinks in town,UNSUPPORTED
bars that allow dogs near charlotte,UNSUPPORTED
Where are the lyrics to the song that is now playing,UNSUPPORTED
Who of my friends checked into the movies this past month?,UNSUPPORTED
What city has the most traffic in the US,UNSUPPORTED
Who else of my friends is interested in going to the event?,UNSUPPORTED
New stores that opened in the month of December,UNSUPPORTED
Is there a different parade route for the University parade on Saturday?,UNSUPPORTED
Places to take holiday pictures with your dog next week,UNSUPPORTED
Are any of my friends from paint night going to the art museum exhibit?,UNSUPPORTED
Where are the best places to get tapas in town,UNSUPPORTED
Is Soaring Ridge releasing any new beers this month in Roanoke,UNSUPPORTED
What day is the shortest day of year,UNSUPPORTED
Where can I find the new Michael Jordan tennis shoes that's out this week in Nevada at the FootLocker,UNSUPPORTED
Can you invite Victoria to the pool party I'm hosting tomorrow?,UNSUPPORTED
Restaurants open on Christmas day in Ormond Beach,UNSUPPORTED
When is my sister's graduation?,UNSUPPORTED
When does Dunkin Donuts come out with their Christmas flavors,UNSUPPORTED
Can you see each other again?,UNSUPPORTED
Who made an event to climb in Squamish this summer?,UNSUPPORTED
When does Game of throwns return?,UNSUPPORTED
Show me a virtual tour of Dave's office.,UNSUPPORTED
What time will the game in the Meadowlands let out on Monday?,UNSUPPORTED
How many places were visited by mom and dad last 2 years?,UNSUPPORTED
best place to take the family this weekend,UNSUPPORTED
Who went to Susan's birthday party last week?,UNSUPPORTED
email me a reminder for my event monday at 7am,UNSUPPORTED
What kind of flowers did you plant?,UNSUPPORTED
I need a reservation at 8 pm for a 12 person dinner,UNSUPPORTED
Has Nate communicated with his sister since December of 2015?,UNSUPPORTED
Where is the Kogi Food Truck right now,UNSUPPORTED
What type of food should I make for Christmas,UNSUPPORTED
Where is a fun place to eat,UNSUPPORTED
What DJ available is available near me in 2 months,UNSUPPORTED
Give me directions to the Jazz Festival please,UNSUPPORTED
Looking for a cool place to hang out Friday night,UNSUPPORTED
is any restaurants in my neighborhood family friendly,UNSUPPORTED
What is required to obtain a driver licence at the age of 17 in Texas?,UNSUPPORTED
What was the year,UNSUPPORTED
Who is voted the best winery in Washington,UNSUPPORTED
family-friendly restaurants near Lincoln Park Zoo,UNSUPPORTED
Is there a dining venue on a boat on Lake Tahoe during the holidays,UNSUPPORTED
Is their an E-Sports Lounge with a Grill nearby,UNSUPPORTED
How many times has my father viewed the video he sent us?,UNSUPPORTED
which way is it to the theatre for the next movie,UNSUPPORTED
popular spots to propose,UNSUPPORTED
What are Jennifer's performance dates in May?,UNSUPPORTED
Are there any dance clubs in The Venetian,UNSUPPORTED
Complimentary coffee nearby,UNSUPPORTED
How long until Carol gets back to me?,UNSUPPORTED
Best microbrew in vancouver wa,UNSUPPORTED
Find helicopter flights in Maui in October,UNSUPPORTED
Which steakhouse in New York is the best one,UNSUPPORTED
Where people go to meet each other in New York,UNSUPPORTED
what time is the nest train to Memphis,UNSUPPORTED
Are there any drive-in movie theaters left in the state of Ohio that are open in the fall,UNSUPPORTED
What time does tomorrow's game start?,UNSUPPORTED
Kid friendly steak restaurants,UNSUPPORTED
Which among my friends is coming to my dad's birthday?,UNSUPPORTED
what is the best day to go out in los angeles,UNSUPPORTED
Has Kerry return from her 2 week vacation in Spain?,UNSUPPORTED
When does the ice skating rink open in Temecula for the holidays,UNSUPPORTED
Reservation for Friday 9pm at Ruth Chris Steakhouse in downtown Las Vegas,UNSUPPORTED
did christina porter from high school join my volleyball group yet?,UNSUPPORTED
Are there any child and pet friendly places to eat locally,UNSUPPORTED
Are there any amusement parks open this weekend,UNSUPPORTED
What is a popular place to get drinks near me,UNSUPPORTED
party bus available for a wedding,UNSUPPORTED
find pictures of my family with scarves,UNSUPPORTED
What was the day,UNSUPPORTED
Can you show me any of my friends that are following Daryl's band?,UNSUPPORTED
What is the go to place to visit in the Bahamas,UNSUPPORTED
Where have my sisters visited lately?,UNSUPPORTED
are there any arcades within 20 miles of 29720,UNSUPPORTED
Vegan restaurant near Orlando open today,UNSUPPORTED
Are any of my friends going to Disney World?,UNSUPPORTED
New stores opening within the next year in my area,UNSUPPORTED
Cable channels,UNSUPPORTED
What  address is Katie's gym?,UNSUPPORTED
Malls near El Paso that are closed,UNSUPPORTED
Buy tickets for ZooLights,UNSUPPORTED
When was the last time John went online?,UNSUPPORTED
Will it take longer to take the bus or bicycle to work this morning?,UNSUPPORTED
party planner available next month,UNSUPPORTED
Were any of my friends at the casino last week?,UNSUPPORTED
Which of my uncles was the only one able to attend my high school graduation?,UNSUPPORTED
Applebee's open after 11pm in Greenville,UNSUPPORTED
Calls for this afternoon,UNSUPPORTED
Best restaurants around please,UNSUPPORTED
Romantic restaurants on Lexington avenue,UNSUPPORTED
Doctor's office near me with a good rating,UNSUPPORTED
sports bars near me,UNSUPPORTED
Local museums near Branson,UNSUPPORTED
Grocery stores open late,UNSUPPORTED
I want to take a cruise to Bermuda from New York,UNSUPPORTED
what`s the best latte near me,UNSUPPORTED
best place to meet single guys near me,UNSUPPORTED
Toilet paper brands,UNSUPPORTED
Is the Pizza Hut on San Pedro street still open after midnight on Saturday nights,UNSUPPORTED
Next flight to Paris,UNSUPPORTED
How much are tickets to see U2 at the BOK,UNSUPPORTED
when does the east brunswick spray park open,UNSUPPORTED
best holiday shopping in new york,UNSUPPORTED
need the location for the friday cavs game at when is the quilting bee at the presbyterian church,UNSUPPORTED
"Restaurants in Orlando that cater, open weekends",UNSUPPORTED
Good pizza places in Philly,UNSUPPORTED
How does a school bus driver who drives more than one route not get  confused of where to go and drop kids off?,UNSUPPORTED
What is the most popular degree at Arizona State University this year?,UNSUPPORTED
popular music bar in Nashville,UNSUPPORTED
show me some special places for shopping,UNSUPPORTED
Where is she having her baby shower?,UNSUPPORTED
give me some info on museums,UNSUPPORTED
What are two centrally located cities of all my family where we could have a family reunion?,UNSUPPORTED
Places to eat sushi in Montana,UNSUPPORTED
What are the hours of High School in Fort Collins,UNSUPPORTED
Where is the oldest zoo in America that I can visit,UNSUPPORTED
What did Khloe say she wanted for her birthday last week,UNSUPPORTED
turn off my house heat,UNSUPPORTED
Where is the closest adult arcade,UNSUPPORTED
where can I taste whiskey in chicago,UNSUPPORTED
date night ideas for saturday,UNSUPPORTED
What museums are open,UNSUPPORTED
Where is the closest indoor waterpark near me that is open this month,UNSUPPORTED
BEST panorama view of the city,UNSUPPORTED
what is the forecast for manznita,UNSUPPORTED
Please send a Happy Birthday text to all my friends who have birthdays this week.,UNSUPPORTED
What hours is  Made Man Barber Shop open?,UNSUPPORTED
Where will tonight's event for the local FFA be located?,UNSUPPORTED
dog bars in charlotte NC,UNSUPPORTED
Best restaurants for date night on Saturday,UNSUPPORTED
"Comedy stores in Nashua, NH open this weekend",UNSUPPORTED
Will there be a white Christmas,UNSUPPORTED
How much is the bus in my hometown and where is the nearest stop?,UNSUPPORTED
Are any of my friends going to the Metallica concert in Orlando?,UNSUPPORTED
restaurants recommendation in springfield for next week,UNSUPPORTED
Where did I store all my photos of my second trip to London,UNSUPPORTED
What does my day look like,UNSUPPORTED
Are their any E-Sports bars near me that are open till midnight,UNSUPPORTED
Places to go by Christmas cards,UNSUPPORTED
Times the clubs close in San Francisco this weekend,UNSUPPORTED
Who has gone to my favorite restaurant,UNSUPPORTED
Any clubs that are open later than midnight in DC,UNSUPPORTED
play music for the concert tomorrow,UNSUPPORTED
Show me where my friends like to travel,UNSUPPORTED
what are some of the most popular places to hang out in my town,UNSUPPORTED
How old is my house on Holbrook Street,UNSUPPORTED
Need suggestions of places to go for John's birthday in November,UNSUPPORTED
Where did Linda vacation with her family last year?,UNSUPPORTED
I need to know if the high school James Madison is office is open at 8am on Monday,UNSUPPORTED
Did they cancel the Silver Alert,UNSUPPORTED
Was my cousin Carlton featured in the local news piece on that mass shooting?,UNSUPPORTED
Where in New York City can I get a diamond ring?,UNSUPPORTED
best place to eat a gyro near me,UNSUPPORTED
Recommendations for local restaurants with good ratings for tonight,UNSUPPORTED
sushi specials in town tonight,UNSUPPORTED
Find an Italian restaurant at Pikes Market Place that service spaghetti,UNSUPPORTED
The model casting call is too far from me,UNSUPPORTED
places to take my dog,UNSUPPORTED
How often does Kelly travel outside the US?,UNSUPPORTED
"What venues in Buffalo, NY will be hosting Halloween parties this weekend",UNSUPPORTED
Did I make note of my pay dates,UNSUPPORTED
what job would you love to have,UNSUPPORTED
How long was Eisenhower in office,UNSUPPORTED
what time do the farms open in Homestead,UNSUPPORTED
Can you help me report a driver next to me that is texting while driving,UNSUPPORTED
I'm looking for a favorite dessert recipe that uses cream cheese that my Grandma makes.,UNSUPPORTED
What color is the school building my sister goes to?,UNSUPPORTED
Where is the closest ER,UNSUPPORTED
Bars on Oahu,UNSUPPORTED
Places to eat,UNSUPPORTED
Redbox locations within 5 miles of Dallas,UNSUPPORTED
What time is mom coming home for dinner tonight?,UNSUPPORTED
Decorate your home for Christmas,UNSUPPORTED
Which clubs are having live music this weekend,UNSUPPORTED
Where can I find an event coordinator near wine country,UNSUPPORTED
pick your own Christmas tree near Park Ridge IL,UNSUPPORTED
Music stores in San Leandro,UNSUPPORTED
Key West night club closing times,UNSUPPORTED
Is my sister coming to the anniversary party this weekend?,UNSUPPORTED
Show me churches close to Terrance's house.,UNSUPPORTED
Is one of my friends going to Hawaii this summer?,UNSUPPORTED
Best places for Sunday brunch,UNSUPPORTED
What are the most popular clubs near me,UNSUPPORTED
when will I get the reports that were mailed today from Japan,UNSUPPORTED
What do my friends think about the college in Sheboygan?,UNSUPPORTED
Price of gas in Denton,UNSUPPORTED
nearest vegan caterer available as soon as possible,UNSUPPORTED
Best restaurant deals for tonight near me,UNSUPPORTED
Did Lisa go to Manhatten or Brooklyn this week?,UNSUPPORTED
What time is my sister's graduation ceremony?,UNSUPPORTED
Food in Lynchburg,UNSUPPORTED
Any dine in movie theaters in Brooklyn,UNSUPPORTED
What Facebook groups does my husband belong to?,UNSUPPORTED
Are there any museum near me,UNSUPPORTED
What state has the most traffic in world,UNSUPPORTED
When and where is my dog's vet appointment?,UNSUPPORTED
where can I lift weights in Las Vegas,UNSUPPORTED
When was the last Alumni newsletter sent,UNSUPPORTED
Are angels real,UNSUPPORTED
Is the skating rink open for the season,UNSUPPORTED
Are the retail stores open later during Christmas week in Manhattan,UNSUPPORTED
the best places to watch a night sky of O.C,UNSUPPORTED
Which countries did Maansi travel to after graduating from UCSC?,UNSUPPORTED
Ask Mom for the birthday cake recipe,UNSUPPORTED
hours that the museums are open,UNSUPPORTED
directions to church,UNSUPPORTED
what time should I call an uber if I need to be at the airport by 5pm?,UNSUPPORTED
What movie did Johnny take Sue to see this weekend?,UNSUPPORTED
What time does the next train leave for New York and how much does it cost?,UNSUPPORTED
What are some cities my friends have recently gone to?,UNSUPPORTED
Which car rental company does my family use the most for travel?,UNSUPPORTED
Where is the nightlife congregated at 1 am in Boston,UNSUPPORTED
museums near me,UNSUPPORTED
Where is a good place for my daughter to gymanstics and horseback riding lessons?,UNSUPPORTED
How much land do most own in Dracut,UNSUPPORTED
discounted fish stores in st louis,UNSUPPORTED
Are any restaurants in Chicago having specials for the holidays,UNSUPPORTED
Is it okay to take the kids to see Wicked,UNSUPPORTED
Is Pennypickles Workshop open at 9 a.m. on Saturdays,UNSUPPORTED
Show me how to put air in the tire?,UNSUPPORTED
What are the actual colors of the rainbow?,UNSUPPORTED
Which colleges have accepted  my Black friends for admission?,UNSUPPORTED
best place to eat soup,UNSUPPORTED
Where should I plan a getaway trip for 2 weeks,UNSUPPORTED
where can I find quick reservations for a restaurant in new york at dinner time,UNSUPPORTED
Who has the best margaritas in the Indianapolis,UNSUPPORTED
Who in my cruise group has responded that they want to go so far.,UNSUPPORTED
What places can I go for the most reasonable prices,UNSUPPORTED
At what time does the Getty Museum in Los Angeles opens this Saturday,UNSUPPORTED
What is the cheapest College in my District for Nursing?,UNSUPPORTED
Internet cafes open late in Bath Beach,UNSUPPORTED
Kids arcade to throw birthday parties on Wednesday night,UNSUPPORTED
Make a post to all my local social media friends to meet me at 7pm at Amigos for dinner tonight.,UNSUPPORTED
night club closing times in Miami,UNSUPPORTED
contact my family for our birthday party monday at 5,UNSUPPORTED
Best exercises to do,UNSUPPORTED
Duke basketball final 4 tickets for reserve March 2018,UNSUPPORTED
any events that my husband will like,UNSUPPORTED
Is there any kids friendly restaurant nearby,UNSUPPORTED
Where should I go on vacation,UNSUPPORTED
WHERE WAS OUR FAMILY REUNION IN 2003?,UNSUPPORTED
keep my schedule for the weekend open for games,UNSUPPORTED
Is there a farmer's market open after 2 PM on Saturdays,UNSUPPORTED
Which city do my friends went to last summer ?,UNSUPPORTED
Skating ring near me,UNSUPPORTED
What is the speed limit on Texas highways,UNSUPPORTED
Show me friends that attended a local festival.,UNSUPPORTED
how much are tickets to pitbull,UNSUPPORTED
what are the hours of yosake sushi happy hour in wilmington,UNSUPPORTED
When is Kelly's graduation party?,UNSUPPORTED
What is the last photo I was tagged in with my brother and his wife?,UNSUPPORTED
How many students are registered at the local college?,UNSUPPORTED
Who said they are going to the event at Pentangle?,UNSUPPORTED
Set a reminder for Emily's graduation,UNSUPPORTED
I want to know when I can get into the car wash this morning,UNSUPPORTED
What is the restaurant for Amy's event today?,UNSUPPORTED
Where to play putt putt golf in denver,UNSUPPORTED
"Next weekend I want to play miniature golf, locate",UNSUPPORTED
WHAT EVENT ARE MY COLLEGE FRIENDS GOING TO?,UNSUPPORTED
What Italian restaurants in the area have reservations available at 7 Pm tonight,UNSUPPORTED
Is the golf course still open,UNSUPPORTED
Did my dad schedule his yearly exam with his dermatologist,UNSUPPORTED
Is there a dentist open near me today,UNSUPPORTED
Where can I go sing Karaoke,UNSUPPORTED
list movie theatres with long line wait time and how long is it,UNSUPPORTED
Christmas tree lots near me,UNSUPPORTED
What is a recipe for pad thai?,UNSUPPORTED
New stores in town,UNSUPPORTED
How far does Mom live from Aunt Marie?,UNSUPPORTED
What about a nice boat ride in Dana Point,UNSUPPORTED
Where can I find wide with blue strappy heels in Seattle,UNSUPPORTED
Where is the strike?,UNSUPPORTED
When does my English study group meet?,UNSUPPORTED
Where should I make dinner reservations in the city tonight,UNSUPPORTED
Good salons not too far from my home,UNSUPPORTED
Does the Walmart in Plymouth close for Christmas,UNSUPPORTED
Are there any wineries within 100 miles,UNSUPPORTED
What clubs are still around from college,UNSUPPORTED
Is Amazon warehouse hiring?,UNSUPPORTED
best place to nit,UNSUPPORTED
Best club in Boston,UNSUPPORTED
did Earl order cookies from me last year,UNSUPPORTED
How many patents came out of my high school graduating class?,UNSUPPORTED
when is the best time to go to the Zoo in San Diego,UNSUPPORTED
Places to eat near me,UNSUPPORTED
which day is best to go to downtown orlando,UNSUPPORTED
Event halls open for 9pm tonight,UNSUPPORTED
Hours for Disney World this weekend,UNSUPPORTED
what is the best way to get in touch with all my friends to organize my Alumni meet.,UNSUPPORTED
Can you call Kenny?,UNSUPPORTED
What movie theaters have matinee pricing,UNSUPPORTED
Where is the farthest place in the world anyone in my veterinary class has traveled on vacation?,UNSUPPORTED
Any pet friendly hotels in the area of St Augustine,UNSUPPORTED
Where are the nearest wineries within 25 miles of me,UNSUPPORTED
Where is the closest butcher within 10 miles from me,UNSUPPORTED
Is there a traffic app I can download,UNSUPPORTED
Is it too late to take ballet classes,UNSUPPORTED
On 43rd Street Saturday 22nd of March at 3 p.m. for band practice,UNSUPPORTED
which friend has commented the most on my pictures,UNSUPPORTED
Best restaurants with Live music in LA,UNSUPPORTED
best place to have a rueben,UNSUPPORTED
"Piano Bars in Lynchburg, Va",UNSUPPORTED
How have you been my friend,UNSUPPORTED
"What does the phrase mean """"""""It's raining cats and dogs?",UNSUPPORTED
fast food open late,UNSUPPORTED
where can I go to see a Picasso exhibit,UNSUPPORTED
#1 nightclub in downtown Manhattan,UNSUPPORTED
Give me movie recommendations,UNSUPPORTED
Did any of my friends check into the theater yet?,UNSUPPORTED
What are your plans for this evening with Jill,UNSUPPORTED
Read me any texts I got from Bill today.,UNSUPPORTED
Places to go by presents,UNSUPPORTED
What is the distance to the sun,UNSUPPORTED
Is my sister going to the theater tonight?,UNSUPPORTED
Is the Alamo still in its original location or was it ever moved,UNSUPPORTED
WHAT TIME DOES THE MALL OPEN THIS WEEKEND,UNSUPPORTED
What stores are on open on Christmas Eve,UNSUPPORTED
do you like school,UNSUPPORTED
How many of my friends attend church on Sundays?,UNSUPPORTED
Have any of my friends watched movies lately?,UNSUPPORTED
Where can I find good sneakers in New York,UNSUPPORTED
Do I need a reservation to dine at Ninfa's in Houston on Canal St,UNSUPPORTED
tourist destinations in El Paso in Decemeber,UNSUPPORTED
Is there an E-Sports Lounge with a Bar near me,UNSUPPORTED
any kid friendly restaurants for breakfast tomorrow,UNSUPPORTED
Who wished me happy birthday last year?,UNSUPPORTED
Can I get a degree in physics from Capella University and how much does it cost?,UNSUPPORTED
Daytime nightclubs near me,UNSUPPORTED
"Tonight I want to go roller skating, is anywhere open",UNSUPPORTED
When is the ski trip with our friends Joe and Christina?,UNSUPPORTED
Where is the closest place I can have lunch,UNSUPPORTED
Where to get great Chinese food,UNSUPPORTED
Has Tim ever been to my favorite mexican restaurant?,UNSUPPORTED
When the Red Wings play their next game at Joe Louis Arena,UNSUPPORTED
"car drives 30 miles per hour for 2 hours, how far has it driven",UNSUPPORTED
what is the best diet for a diabetic?,UNSUPPORTED
Good places to go in Atlanta tonight,UNSUPPORTED
MDOT traffic app,UNSUPPORTED
Is their an E-Sports Lounge near me,UNSUPPORTED
How many countries are there in the United states?,UNSUPPORTED
how many days am I scheduled to work this month?,UNSUPPORTED
Show me children's museums near san diego,UNSUPPORTED
text,UNSUPPORTED
what are the thursday specials at the localdenny's,UNSUPPORTED
What holiday coffees are available at my local Starbucks this week,UNSUPPORTED
Dinner reservations at Marcos saturday night at 8,UNSUPPORTED
Any bars to hit up in Brentwood on Wed,UNSUPPORTED
How many hours of your life you lose in traffic,UNSUPPORTED
What is the average life expectancy of a cat?,UNSUPPORTED
Is  Gordon Ramsay restaurant open next month,UNSUPPORTED
how many inches of snow will Denver get normally,UNSUPPORTED
list the newest restaurants in Portland Oregon,UNSUPPORTED
Disney rides,UNSUPPORTED
Which,UNSUPPORTED
What time does my friend Jeff get off work?,UNSUPPORTED
What day do I have to pay for my classes?,UNSUPPORTED
Car dealerships having sales this weekend,UNSUPPORTED
What restaurants are nearby for me to eat at tonight,UNSUPPORTED
Can you alert me when traffic dies down,UNSUPPORTED
Mexican restaurants to eat in Los Angeles tonight,UNSUPPORTED
Which state parks will be open on Sunday,UNSUPPORTED
Valentines day restaurant suggestions,UNSUPPORTED
"I want to watch """"Dr. Zhivago",UNSUPPORTED
Black owned carpet cleaning companies,UNSUPPORTED
24 hour Plumbers near Houston,UNSUPPORTED
mcdonalds phone number,UNSUPPORTED
How do you say where is the bathroom in Spanish?,UNSUPPORTED
Can you show me my recent comments,UNSUPPORTED
What is my oldest son's girlfriend's dress size?,UNSUPPORTED
recommendation for discounted wine purchase in peoria,UNSUPPORTED
What year was the white house built?,UNSUPPORTED
Local events halls that have their own dj,UNSUPPORTED
Where can I ice skate,UNSUPPORTED
Where to hike near me,UNSUPPORTED
Places to ride go carts in denver,UNSUPPORTED
How far away is the moon,UNSUPPORTED
Carpet solution for hoover vacuums,UNSUPPORTED
Nail salons open near Vancouver tomorrow at 9am,UNSUPPORTED
Does the spa close by 10pm,UNSUPPORTED
Where can we find Christmas tree decorations to make ourselves,UNSUPPORTED
what is 11 pm in military time,UNSUPPORTED
which restaurant near me has the best sushi special tonight,UNSUPPORTED
Where is the most favorable restaurant that my friends and relatives frequently like to dine at?,UNSUPPORTED
What pet friendly restaurants are located in Baltimore's Inner Harbor?,UNSUPPORTED
places to visit in Boston,UNSUPPORTED
When was the last time Angie posted something,UNSUPPORTED
What is Nashville's best kid friendly restaurant,UNSUPPORTED
Are any of my girlfriends attending events for toddlers this month?,UNSUPPORTED
Places to eat in Beverly Hills tonight,UNSUPPORTED
Which restaurant in DC has the most impressive wine list,UNSUPPORTED
How much will college cost for my son?,UNSUPPORTED
What's the cheapest event planner near me for next month,UNSUPPORTED
Best Dollar General deals for my local Dollar General,UNSUPPORTED
new restaurants downtown,UNSUPPORTED
How does Bridget make her colcannon?,UNSUPPORTED
nightclubs in Miami with best reviews to visit tomorrow night,UNSUPPORTED
Castles near me,UNSUPPORTED
Who was my last text to,UNSUPPORTED
What charities can our family help out at this month for the holidays,UNSUPPORTED
When was the last family reunion and where was it?,UNSUPPORTED
Party planner near me that can do tropical themed weddings,UNSUPPORTED
Tarot readings affordable,UNSUPPORTED
When is Suzanne's next Weavelife weaving show at Liberty Station?,UNSUPPORTED
Top glamping locations,UNSUPPORTED
Can I make a reservation for Outback Steakhouse near me,UNSUPPORTED
Is Vanessa available for lunch tomorrow?,UNSUPPORTED
How many interstates are there in the United States,UNSUPPORTED
Find a Nuevo art gallery close by,UNSUPPORTED
Will there be another world war?,UNSUPPORTED
What is the name of the new song by sza just released last month,UNSUPPORTED
5 star restaurants accepting reservations for Valentine's day,UNSUPPORTED
When do the apple orchards close in Lancaster,UNSUPPORTED
What's your favorite plant,UNSUPPORTED
Contact my Uncle.,UNSUPPORTED
Where can I find a good head shop in Denver,UNSUPPORTED
event planner for a dogs birthday,UNSUPPORTED
Can I sell my car on Facebook?,UNSUPPORTED
Give me a list of all the nearest pie shops in my area.,UNSUPPORTED
Next Saturday I need to go to Sacramento any goo restaurants there,UNSUPPORTED
Clubs in Savannah,UNSUPPORTED
How far is Numbers from me,UNSUPPORTED
Where can I get a live Christmas tree,UNSUPPORTED
Where can I get turtle food?,UNSUPPORTED
Which post office in Los Angeles is open on Christmas Day,UNSUPPORTED
Where is a good place to go for coffee in North Carolina during the weekday,UNSUPPORTED
who did i go play paintball with last saturday,UNSUPPORTED
how many of my friends are going to the high school reunion?,UNSUPPORTED
Best Caribbean restaurants near Montreal,UNSUPPORTED
when is burning man,UNSUPPORTED
List Christmas tree farms for Ira Township,UNSUPPORTED
Why did Shane cancel his job interview Monday?,UNSUPPORTED
What time does the nearest parking garage close,UNSUPPORTED
Poutine is my favorite food ever and I've heard they have some great poutine in Vancouver where I'll be staying with my sister on Wednesday. Whats the best poutine spot there,UNSUPPORTED
How many miles do I need to walk to hit 10 000 steps,UNSUPPORTED
Museums near Atlanta,UNSUPPORTED
when is my high school reunion?,UNSUPPORTED
Are there any new restaurants in Kirksville,UNSUPPORTED
Best place to hear jazz in New York,UNSUPPORTED
When is my brother in laws surgery day?,UNSUPPORTED
Any parks near Fillmore that offer sledding on Saturday,UNSUPPORTED
Places to eat in Austin in July,UNSUPPORTED
Where should I hang out tonight,UNSUPPORTED
Are aliens real,UNSUPPORTED
when is taco bell closing tonight,UNSUPPORTED
email my friends my event this for this week by 4pm today,UNSUPPORTED
Which restaurants are open near me on New Years Eve,UNSUPPORTED
Bell ringers outside Walmart this week,UNSUPPORTED
How many 3 bedroomhomes are for sale in the San Antonio neighborhood of Steubing Ranch today,UNSUPPORTED
Places to eat in Santa Monica tonight,UNSUPPORTED
Will Glenn be able to take good pictures of Sandy?,UNSUPPORTED
