query,top_intent
first spring training game in sarasota,GET_EVENT
Holiday parties in Detroit,GET_EVENT
Upcoming music festivals,GET_EVENT
Beach Party in Ft Lauderdale at 7pm tomorrow,GET_EVENT
Any concerts in Portland coming up,GET_EVENT
Are there any fireworks in Chicago tonight,GET_EVENT
Any music Festivals coming up,GET_EVENT
theater performance tonight in st louis,GET_EVENT
Concert by Kelly Rowland for next weekend,GET_EVENT
Events to go to around downtown Portland Sunday,GET_EVENT
What's happening in Houston this weekend,GET_EVENT
Conventions in town,GET_EVENT
events near me tonight,GET_EVENT
Is there any events happening in Dallas,GET_EVENT
What is going on this weekend,GET_EVENT
are there car auctions in Arlington this week,GET_EVENT
When is the Poinciana Christmas Parade,GET_EVENT
Are there any special Holiday Events in Tahoe City next week,GET_EVENT
Dog Halloween events in New York,GET_EVENT
Are there any public back to school parties around here,GET_EVENT
Are there any good shows at the Camelot Theater this weekend,GET_EVENT
Music festivals going on this weekend,GET_EVENT
what's going on in downtown manchester tomorrow night,GET_EVENT
Christmas light shows in Phoenix for tonight,GET_EVENT
When is the next Jay Z concert,GET_EVENT
Are there any local Halloween parties in town on the 31st,GET_EVENT
What's there to do tomorrow,GET_EVENT
"What cool things are happening in Virginia Beach, VA this week",GET_EVENT
what's fun to do in orlando,GET_EVENT
Is there anything cool going on near me tonight,GET_EVENT
Are there any wine events happening tomorrow in Los Angeles,GET_EVENT
What's happening in Olean this weekend,GET_EVENT
Best light viewings in Nashville,GET_EVENT
Any farmer's markets taking place on Saturday,GET_EVENT
Lady Gaga concert dates this month,GET_EVENT
Concerts at Radio City this week,GET_EVENT
What Christmas-related events are happening in December 2017 in Phoenix,GET_EVENT
can we catch any concerts this weekend,GET_EVENT
Holiday concerts locally this month,GET_EVENT
Art shows in San Jose this weekend,GET_EVENT
What are today's events,GET_EVENT
Are there any bar crawls in St Pete this weekend,GET_EVENT
What's something fun to do tomorrow,GET_EVENT
Can you check for Christmas concerts this Sunday,GET_EVENT
Things to do in Rochester this week,GET_EVENT
What wine events are happening tomorrow in Los Angeles,GET_EVENT
events today,GET_EVENT
events in dubois tonight,GET_EVENT
what can we do as a family today,GET_EVENT
Free events near Stuart in February,GET_EVENT
find me something exciting in Hartford this weekend,GET_EVENT
What's going on in Phoneix,GET_EVENT
Epilepsy support groups,GET_EVENT
I want to see local music,GET_EVENT
when is the next wine event within 20 miles of me,GET_EVENT
Things to do in Seattle this weekend,GET_EVENT
vegas mega concert for Justin Bieber,GET_EVENT
Are there any rock concerts this weekend,GET_EVENT
What's happening today in Philadelphia,GET_EVENT
What sporting events are happening this weekend nearby,GET_EVENT
What movie is showing at the Keller Moviehouse tonight at 10pm,GET_EVENT
Wine and cheese tasting events in Napa next weekend,GET_EVENT
Are there any events next Sunday in NoHo,GET_EVENT
Any Christian singles events in Brooklyn,GET_EVENT
What events can I take my parents to,GET_EVENT
Things to do when I visit Boston in June,GET_EVENT
Can you find any yard sales within 20 miles of me tomorrow,GET_EVENT
Events in Erie,GET_EVENT
Anything going on near me after midnight tonight,GET_EVENT
farmers markets near me,GET_EVENT
music concerts in dallas saturday,GET_EVENT
Music Shows in Kansas City this weekend,GET_EVENT
Tours in New York City,GET_EVENT
What's happening in Huntington Beach this weekend,GET_EVENT
are there any concerts at  Music Hall on saturday night,GET_EVENT
What is happening in Dallas tomorrow,GET_EVENT
What are the most popular events in Milwaukee,GET_EVENT
anything to do in nyc on sunday,GET_EVENT
What events are happening around me,GET_EVENT
Film events in New York this weekend,GET_EVENT
Concerts happening in New York City,GET_EVENT
any thing to do in los angeles tonight,GET_EVENT
What Holiday events are going on this Saturday in Fort Collins,GET_EVENT
Ice Skating in Downtown Los Angeles for this weekend,GET_EVENT
Suggest interesting concert in Stamford tonight,GET_EVENT
What kind of family friendly activities are happening this weekend near me,GET_EVENT
Anything related to superheroes going on the month,GET_EVENT
Where are the best Ugly Christmas Sweater parties,GET_EVENT
Springfest in ocean City md next week,GET_EVENT
Tell me what events are happening today,GET_EVENT
What to do in Waikiki this weekend,GET_EVENT
Things to do in Russia,GET_EVENT
Gaming Tournaments near me,GET_EVENT
Give me a list of opening acts at Stubb's next month,GET_EVENT
Hotel events in Miami,GET_EVENT
things to do in orange county this weekend,GET_EVENT
what time is the jazz performance on Saturday at Trinity University,GET_EVENT
Give me a list of concerts in Austin in March,GET_EVENT
Wine tastings in uptown Dallas,GET_EVENT
What store is the book signing in,GET_EVENT
Anything happening near me tonight,GET_EVENT
any events in Anaheim this week,GET_EVENT
what kind of party in Disney over the week,GET_EVENT
Jewel is performing in New York sometime soon. When is her concert,GET_EVENT
is there any cool band playing this weekend,GET_EVENT
when is epcots flower and garden festival,GET_EVENT
what times are the My Favorite Murder live podcasts happening this weekend in Kansas City,GET_EVENT
Classes to make Christmas,GET_EVENT
LGBTQ events in Houston next month,GET_EVENT
What is going on tonight in Savannah,GET_EVENT
Santa Con start time for KROCK,GET_EVENT
Music event in Lincoln tonight,GET_EVENT
Where can I get a snowmobile guided tour on Saturday in north Lake Tahoe area,GET_EVENT
fun activities for kids,GET_EVENT
Anything happening in Baltimore tomorrow,GET_EVENT
What to do in Santa Monica tonight,GET_EVENT
what is the Halloween party this weekend,GET_EVENT
What holiday events are happening next Saturday evening,GET_EVENT
is there anything going on for kids this weekend,GET_EVENT
skating event happening at,GET_EVENT
This time next Friday what is playing at the Regal theater near me,GET_EVENT
when is the annual locust grove community yard sale,GET_EVENT
What's happening in Austell tomorrow night,GET_EVENT
Is there anything happening in Charleston tomorrow,GET_EVENT
Any music events happening here next month,GET_EVENT
Where is the best nativity scene near me,GET_EVENT
Thanksgiving events near Philadelphia,GET_EVENT
where can I see christmas lights in chicago this weekend,GET_EVENT
Are there any Holiday fundraisers,GET_EVENT
What plays are on Broadway this week,GET_EVENT
Events in downtown Atlanta,GET_EVENT
Movies playing at 9pm tonight in Tallahassee,GET_EVENT
kid events in hershey this month,GET_EVENT
any interesting events in DC tonight,GET_EVENT
Where can I take the kids to have dinner with Santa near me,GET_EVENT
Landscape design conferences,GET_EVENT
Any ballets playing Thursday,GET_EVENT
What's going on in Cleveland next weekend,GET_EVENT
events at thunder valley casino,GET_EVENT
List fun things to do on a weekend,GET_EVENT
Any christmas plays going on nearby,GET_EVENT
what cool can i be doing right now,GET_EVENT
Are there any Christmas parties going on,GET_EVENT
Music events in Pittsburgh tonight,GET_EVENT
Are there any music festivals in Portland next month,GET_EVENT
Festivals by me this weekend,GET_EVENT
Events this weekend,GET_EVENT
Is anything going on tomorrow,GET_EVENT
Kid Friendly events This weekend,GET_EVENT
Events in town this weekend,GET_EVENT
Bruno Mars concerts in Cleveland this year,GET_EVENT
Search for events today,GET_EVENT
What events can I walk to in Los Angeles right now,GET_EVENT
Whats happening at Brunswick,GET_EVENT
what should I do in austin this weekend,GET_EVENT
Christmas events,GET_EVENT
Events to do in Raleigh,GET_EVENT
Mary Kay events,GET_EVENT
whats going on tonight in LA,GET_EVENT
What's happening in Peoria for next week,GET_EVENT
When and where is the next Fall Out Boy concert,GET_EVENT
whats happening next tuesday,GET_EVENT
What can I do in Antioch tonight,GET_EVENT
Concerts by Christina Aguelera,GET_EVENT
new years eve parties,GET_EVENT
casting calls near Atlanta,GET_EVENT
What concerts are in town next month,GET_EVENT
Concerts at the Hard Rock Casino next month in Biloxi,GET_EVENT
Is there a comedy show in my local area this weekend,GET_EVENT
What's something fun to do tomorrow night,GET_EVENT
Holiday festivities in Chicago this week,GET_EVENT
Are there any Halloween events in Evansville,GET_EVENT
Are there any jazz shows this week in the Cleveland area,GET_EVENT
I want to go bowling. Where can I go,GET_EVENT
Whens the next carnival,GET_EVENT
Business conferences near me this week,GET_EVENT
whats going on for Friday night,GET_EVENT
Are there any wine tasting events in Ocala this weekend,GET_EVENT
anything fun happening today,GET_EVENT
What are the best parties happening in Fort Walton tonight,GET_EVENT
Anything happening locally to participate in today,GET_EVENT
What's happening in downtown Dallas tomorrow night,GET_EVENT
What's happening in Miami tonight,GET_EVENT
parties to attend in new york tomorrow night,GET_EVENT
What nightclubs have live music this weekend in Boston,GET_EVENT
are there any trivia nights near me,GET_EVENT
Wine tasting events at the vineyard near Memphis this weekend,GET_EVENT
Music events in St Augustine next week,GET_EVENT
Are there any events today here,GET_EVENT
What can I do around here,GET_EVENT
"Birthday celebrations in New Orleans , LA on Tuesday",GET_EVENT
Fun things to do in Cleveland later this month,GET_EVENT
Concerts by Jay Z this month,GET_EVENT
Dance events near Denver,GET_EVENT
How far will I have to travel to see a Christmas tree lighting event this Saturday night,GET_EVENT
What's going on in Atlanta on Friday,GET_EVENT
Where can I go for fun,GET_EVENT
Are there any musical events happening in NYC in March 2018,GET_EVENT
Where is the next concert that Alan Jackson is playing,GET_EVENT
Christmas parades in Orlando,GET_EVENT
romantic getaway oahu December,GET_EVENT
Can you find me a Lady Gaga concert coming soon near my location,GET_EVENT
family friendly activities in buford this weekend,GET_EVENT
Live plays in Memphis within the next few weeks,GET_EVENT
What are the best family friendly events in St. Louis this weekend,GET_EVENT
Easter egg hunts tomorrow,GET_EVENT
whats going on tonight,GET_EVENT
anything going on today,GET_EVENT
broadway shows near me this month,GET_EVENT
Things to do in December in Tucson,GET_EVENT
When is the ballet coming to Nashville,GET_EVENT
name events for this weekend in Columbus,GET_EVENT
any concerts from Halsey coming up,GET_EVENT
List the events this weekend for families,GET_EVENT
I want to find a Christmas event in Florence. Anything going on this weekend,GET_EVENT
what are some fun single events going on this weekend,GET_EVENT
kids activities at the zoo,GET_EVENT
What kid friendly events are happening This weekend,GET_EVENT
Cool things to do tomorrow night,GET_EVENT
Any music in Edwardsville IL today,GET_EVENT
What is happening tomorrow night after 6:00p,GET_EVENT
When is the next carrie underwood concert in Seattle,GET_EVENT
What events will take place in January,GET_EVENT
has the town of Apex planned any easter egg hunts,GET_EVENT
kid friendly weekend events in jersey,GET_EVENT
New Year parties planned in Reno,GET_EVENT
New events in my area this month,GET_EVENT
Any wine tastings this weekend,GET_EVENT
Kids clothing sale near me tomorrow,GET_EVENT
Any good comedy shows at the Borgata going on in February,GET_EVENT
The Nutcracker show this weekend,GET_EVENT
Any sports events happening today,GET_EVENT
What is there to do in Gresham tonight,GET_EVENT
what artsy event can i go to tomorrow night downtown,GET_EVENT
any events in the Miami area this weekend,GET_EVENT
Tell me any family friendly events happening this weekend,GET_EVENT
Concerts by Jagged Edge,GET_EVENT
Anything happening tomorrow,GET_EVENT
kid friendly wine tasting in jersey,GET_EVENT
Music events in Virginia next week,GET_EVENT
Auto Show exhibit in Los Angeles next month,GET_EVENT
Anything to do on the 5th of October in Florida,GET_EVENT
Any Pink concerts in the Portland area in the near future,GET_EVENT
is there any events in mobile alabama,GET_EVENT
what are the local sports events for tonight,GET_EVENT
What are the concerts at Disneyland this Christmas,GET_EVENT
Things to do for adults in Mobile Alabama,GET_EVENT
Are there any big name concerts at FedEx Forum in March,GET_EVENT
Is the Circus in Cincinnati this month,GET_EVENT
Charlotte events,GET_EVENT
Brunch this Sunday in Arlington,GET_EVENT
Things to do in Toronto today,GET_EVENT
Are there any Christmas light shows going on in Milwaukee tonight,GET_EVENT
What are the Christmas events in Providence tomorrow,GET_EVENT
Where can I catch some live music in Orlando this weekend,GET_EVENT
Art events this Thursday,GET_EVENT
Things to do in PA tonight,GET_EVENT
Are there any pumpkin carvings near me this weekend,GET_EVENT
Anything going on in Waukesha,GET_EVENT
Parties in Waikiki in the weekend,GET_EVENT
local events this weekend,GET_EVENT
theater events in jersey city this weekend,GET_EVENT
what time does the Christmas Parade start in Lillian on Saturday,GET_EVENT
Are there any concerts on Tuesday in Tampa,GET_EVENT
Any events near me tomorrow,GET_EVENT
Tell me what events are going on in San Fran,GET_EVENT
Tell me when Lady Gaga will play in California,GET_EVENT
Things to do in Los Angeles this week,GET_EVENT
Comedy festivals happening near me for next weekend,GET_EVENT
Are any Ice Skating Shows scheduled for Philadelphia,GET_EVENT
Movie releases in New York City this week,GET_EVENT
Whats happening in sioux falls tomorrow,GET_EVENT
Air shows next year near me,GET_EVENT
What to do this weekend,GET_EVENT
Craft fairs in Memphis next month,GET_EVENT
Music events happening in Atlanta next month,GET_EVENT
Whats going on in Philly this weekend,GET_EVENT
Handel's Messiah show in Los Angeles,GET_EVENT
What's happening in Memphis tonight,GET_EVENT
events in kansas,GET_EVENT
WHat is the parade route,GET_EVENT
Any beer and meat events near me this weekend,GET_EVENT
What is happening in Tampa on Friday,GET_EVENT
What time does the wine tasting event on Saturday start,GET_EVENT
any wineries giving samples this weekend,GET_EVENT
any fun christmas parties tonight,GET_EVENT
What's happening Miami this weekend,GET_EVENT
painting parties,GET_EVENT
When are they having Santa at Cabelas in Boise,GET_EVENT
Farmers Market dates this month,GET_EVENT
What's happening in Kansas City tonight,GET_EVENT
Where does the lighting of the Christmas tree occur,GET_EVENT
yoga events in wilmington this month,GET_EVENT
food sampling events in peoria,GET_EVENT
Any parties in philly tonight,GET_EVENT
What is the next play at the Childrens Little Theater,GET_EVENT
What is happening this weekend,GET_EVENT
Is the LA Beer fest this weekend,GET_EVENT
when is the next E3 convention and where is it going to be taking place,GET_EVENT
Which country stars are coming to Vegas this weekend,GET_EVENT
Any ideas what the kids and I can do Sunday Morning,GET_EVENT
what is happening this weekend,GET_EVENT
When is John Legend playing in New York,GET_EVENT
Musicals in Phoenix this weekend,GET_EVENT
Events near me today,GET_EVENT
Paint Nite parties,GET_EVENT
What family events are happening in Tampa during the holiday,GET_EVENT
Christmas parties,GET_EVENT
Concerts by Drake,GET_EVENT
Santa Claus events,GET_EVENT
what concerts are booked in New York City next week,GET_EVENT
Where is there a cookie making event near me tomorrow,GET_EVENT
Events going on tomorrow,GET_EVENT
Swim classes around here,GET_EVENT
Any day parties in miami today,GET_EVENT
Are there any type of festivals coming to Newport soon,GET_EVENT
What's scheduled at the expo center this saturday,GET_EVENT
What's going on in Schenectady next weekend,GET_EVENT
Christmas events in Edison,GET_EVENT
Things to do in Lake Charles next weekend,GET_EVENT
What concerts are coming to Oakland Arena in January,GET_EVENT
any music concerts going on today,GET_EVENT
Events in New York Saturday only Thanks,GET_EVENT
Tonight in New York,GET_EVENT
Things to do in Truckee tomorrow,GET_EVENT
what's happening in Los Angeles tonight,GET_EVENT
what's going on in my area tonight,GET_EVENT
what time does the SU game start on sunday,GET_EVENT
City party events december,GET_EVENT
stuff to do this week,GET_EVENT
events for just women,GET_EVENT
Any family friendly holiday parties this month,GET_EVENT
folk music concerts this month,GET_EVENT
events in new orleans,GET_EVENT
Fun events going on this weekend,GET_EVENT
What to do in Idyllwild this weekend,GET_EVENT
Any free concerts in our area,GET_EVENT
Is there some sort of Christmas festival in Carmel this year,GET_EVENT
Events in LA for Friday,GET_EVENT
Are there any concerts going on this weekend,GET_EVENT
I need to know what can I do tomorrow night in Atlanta,GET_EVENT
What kid friendly events are in Erie next week,GET_EVENT
costume parties in Phoenix for this weekend,GET_EVENT
When is the holiday parade in Kissimmee,GET_EVENT
concerts in Port St Lucie,GET_EVENT
Things to do tonight,GET_EVENT
Paint parties near me this weekend,GET_EVENT
Gift wrapping parties,GET_EVENT
what live music is there tomorrow in Roanoke around 9,GET_EVENT
What music festivals will be near me next month,GET_EVENT
What Christmas events are happening next week,GET_EVENT
List all family friendly events around Princeton this weekend,GET_EVENT
Concerts for Taylor Swift this weekend,GET_EVENT
any events tomorrow in LA,GET_EVENT
Coolest pool parties this summer,GET_EVENT
Monster Jam dates in Charleston,GET_EVENT
any comedy shows to go to on monday,GET_EVENT
match event for grasslawn,GET_EVENT
What food events are happening near me,GET_EVENT
Concerts this weekend in greenbay,GET_EVENT
who is in town this weekend at MetLife Stadium,GET_EVENT
Concerts in Los Angeles,GET_EVENT
what time is the next movie in Lebanon,GET_EVENT
what is happening this week,GET_EVENT
Theater plays in Atlanta next month,GET_EVENT
I need something to do tonight,GET_EVENT
Christmas events near me,GET_EVENT
Concerts in February,GET_EVENT
When is the next FREE concert Rick Springfield will have,GET_EVENT
When is the Jay-Z concert in Phoneix,GET_EVENT
Concerts by the Davis Elementary Mariachi band this month,GET_EVENT
Weekend events in Portland,GET_EVENT
Anything fun to do in Vancouver this weekend,GET_EVENT
"Nutcracker performance dates for the next two weeks here in South Florida, please",GET_EVENT
See if you can find Beauty & the Beast play for kids near home,GET_EVENT
any distilleries to tour in denver,GET_EVENT
Show me a list of events that Charlie Daniels will be performing at,GET_EVENT
Any ugly sweater parties in New orleans,GET_EVENT
Where Can I go party tonight,GET_EVENT
What's happening tonight in West Hollywood,GET_EVENT
Any comedy events going on in Phoenix,GET_EVENT
Comedy shows in Charlotte,GET_EVENT
metal concerts in Detroit past 8pm in the next week,GET_EVENT
Things to do during the day in New Orleans,GET_EVENT
holiday happenings,GET_EVENT
are there any holiday parties near me this weekend,GET_EVENT
Concerts in Raleigh next month,GET_EVENT
Things to do in Bemidji this weekend,GET_EVENT
Where can I take the kids to sing,GET_EVENT
anything fun happening tomorrow,GET_EVENT
Any events under $20 tonight,GET_EVENT
How many book fairs will there be in the area in the next months,GET_EVENT
What are my events this month,GET_EVENT
"What's going on in Austin the weekend of Jan 9, 2018",GET_EVENT
Fun stuff in Harvard Square tomorrow night,GET_EVENT
When is UCLA holding there alumni ball,GET_EVENT
Are there any new events in my calendar,GET_EVENT
When is the Michael Jackson concert,GET_EVENT
wine events this weekend in Corktown,GET_EVENT
opera tonight in New york,GET_EVENT
Where is the best fireworks show for 4th of July,GET_EVENT
Fun summertime concerts in the park,GET_EVENT
Any rock concerts happening today,GET_EVENT
Find holiday lights festivals in Dallas this month,GET_EVENT
What is going on in town tonight,GET_EVENT
When is the Magic Kingdom Christmas party,GET_EVENT
Any music events next week,GET_EVENT
Christmas tree lighting's in Metro Macomb County,GET_EVENT
What sporting events are close,GET_EVENT
what should I do on this weekend,GET_EVENT
I am looking for any kids-related events at NYC museums this weekend,GET_EVENT
Events to attend this weekend,GET_EVENT
what's up in downtown Kissimmee,GET_EVENT
Shows by Ozzy Osbourne next week in London,GET_EVENT
Any fun Arizona events this weekend,GET_EVENT
is Bruno Mars coming back to Orlando this year,GET_EVENT
Are there any animal friendly activities this weekend,GET_EVENT
What city is TobyMac playing in right now,GET_EVENT
any interesting parties in Jackson this december,GET_EVENT
Are there any art shows happening in Dallas Tuesday,GET_EVENT
What's happening in Rowlett this weekend,GET_EVENT
Hip hop night,GET_EVENT
"Street musicians in Greenville, SC",GET_EVENT
are there any christmas parties going on near me tonight,GET_EVENT
Music events in Seattle for this Friday,GET_EVENT
Performances of the Messiah near me this month,GET_EVENT
Things to do in Charlotte,GET_EVENT
Kids events happening tomorrow in Ft Lauderdale,GET_EVENT
What concerts are in the area,GET_EVENT
Events going on near me,GET_EVENT
Tell me what food festivals will be going on in September for Des Moines,GET_EVENT
Are there any cool festivals this week in Michigan,GET_EVENT
"Festivals in Minneapolis, Minnesota this summer",GET_EVENT
What concerts are happening in Las Vegas on Thursday,GET_EVENT
Anything exciting going on,GET_EVENT
Things to attend in Seattle next weekend,GET_EVENT
Food event in Chicago that are gluten-free and dog-friendly during the Spring season,GET_EVENT
What's going on in Orlando,GET_EVENT
What do I have going on tomorrow,GET_EVENT
Sports events this week in North Lake Tahoe,GET_EVENT
What is happening in Dallas on Sunday,GET_EVENT
Pumpkin carving parties in Frisco City for next weekend,GET_EVENT
When is the diabetic walking taking place in WPB,GET_EVENT
Are there any sporting events going on tonight,GET_EVENT
what's going on in Disney Soprings this weekend,GET_EVENT
where are the wine festivals this month,GET_EVENT
What events would my teens like this weekend,GET_EVENT
Christmas activities for families,GET_EVENT
What's good event for family  in New York this weekend,GET_EVENT
When is Katy Perry coming in concert,GET_EVENT
Concerts by  Jhene Aiko,GET_EVENT
Who is playing at the Agora,GET_EVENT
Things to do in Milan tonight,GET_EVENT
is there any wine glass painting events in orlando tomorrow afternoon,GET_EVENT
Things to do in New York after Christmas,GET_EVENT
What's going on tomorrow,GET_EVENT
Anything cool happening next weekend in Chicago,GET_EVENT
is anyone playing at the M resort next weekend,GET_EVENT
Shows in Vegas,GET_EVENT
sporting events next week in los angeles,GET_EVENT
Anything going on next week,GET_EVENT
Pictures with Santa at Boston Common this weekend,GET_EVENT
Tell me more about the local ballet,GET_EVENT
events in new york,GET_EVENT
show Our Lady Peace concerts near me,GET_EVENT
Vintage Car Show in OKC in 2018,GET_EVENT
"house of blues orlando, fl events in March",GET_EVENT
What is the next biggest event coming up this month in Los Angeles,GET_EVENT
what's there to do today,GET_EVENT
tree lighting ceremonies,GET_EVENT
what sport events are going on this weekend,GET_EVENT
What's happening in Vegas next week,GET_EVENT
next week in phoenix,GET_EVENT
Where is the best music downtown tonight,GET_EVENT
Raindeer visit this weekend near Roswell,GET_EVENT
Fun stuff in Harvard Square next week,GET_EVENT
what happening in ann arbor tonight,GET_EVENT
Music events near me,GET_EVENT
Things to do in DC tomorrow,GET_EVENT
Free skatepark events in Oakland County for month of August,GET_EVENT
events in newport,GET_EVENT
Church programs on Christmas Eve,GET_EVENT
list of cultural events in new york,GET_EVENT
kid friendly shows,GET_EVENT
Events for Toddlers for Christmas,GET_EVENT
what events are happening in hilo on tuesday,GET_EVENT
is there anything to do in town tomorrow,GET_EVENT
Christmas events in San Jose next week,GET_EVENT
upcoming impractical jokers dates in town,GET_EVENT
What is going to be going on in Delaware County tomorrow night,GET_EVENT
anything exciting going on in milwaukee this weekend,GET_EVENT
What is happening in Orlando tonight,GET_EVENT
things to do in wilkes barre this weekend,GET_EVENT
adult only events starting after 6,GET_EVENT
Local music events this Saturday night,GET_EVENT
Free Events in Miami,GET_EVENT
any cultural events,GET_EVENT
food truck friday still happening at 9 on Tuesday,GET_EVENT
Are there any Holiday concerts for Christmas Eve this year,GET_EVENT
Whats happening in Vegas tonight,GET_EVENT
Cheapest events near me,GET_EVENT
Jacksonville holiday events,GET_EVENT
Are there any musical festivals happening in the next two weeks in Seattle,GET_EVENT
Stuff to do in portland this weekend,GET_EVENT
What's going on this weekend in my area,GET_EVENT
Beer tastings Saturday in Tampa,GET_EVENT
Does Dallas having any big events coming up,GET_EVENT
things t go with kids on oahu,GET_EVENT
Things to do in Portland,GET_EVENT
what is happening in ann arbor this weekend,GET_EVENT
what's happening in new jersey this weekend,GET_EVENT
Tree lighting ceremonies,GET_EVENT
any hiking excursions in Palm Springs this weekend,GET_EVENT
Where do I watch Beyonce concert in New York next Tuesday,GET_EVENT
are there any release parties for the new game coming out tuesday,GET_EVENT
What are some fun events in my area,GET_EVENT
play choices near me,GET_EVENT
what time is my event tuesday at work,GET_EVENT
What can I do with the family this weekend in Portland,GET_EVENT
What is there to do tomorrow,GET_EVENT
is there any fall festivals near me this weekend,GET_EVENT
what is happening on Christmas in town,GET_EVENT
Swimming meets today in Austin,GET_EVENT
Free concerts in zip code xxxxx,GET_EVENT
what concerts are playing this weekend,GET_EVENT
Riverwalk events during my stay in March,GET_EVENT
anything cool happening in texas,GET_EVENT
When does the California International Marathon  start in Sacramento,GET_EVENT
Where are some good places for New Year's Eve parties in Summerville,GET_EVENT
what is there to do tonight around 9pm in New York,GET_EVENT
dog training classes near here,GET_EVENT
things to do in Richmond tomorrow,GET_EVENT
what's happening in Los Angeles tomorrow,GET_EVENT
Things for kids to do in Paris for Easter,GET_EVENT
Winter events near me,GET_EVENT
5K runs near Orlando this weekend,GET_EVENT
What concerts are happening in Denver next weekend,GET_EVENT
tell me something fun to do,GET_EVENT
Circus events near me tonight,GET_EVENT
Cool beach parties in Waikiki,GET_EVENT
art festival,GET_EVENT
Any cool live music tonight,GET_EVENT
charity runs happening soon,GET_EVENT
Which parties are going on in Echo Park this evening,GET_EVENT
Art events near downtown Memphis,GET_EVENT
Any live concerts in DC happening now,GET_EVENT
Concerts by Jay-Z near me this month,GET_EVENT
painting parties near 29720,GET_EVENT
beach events in Miami,GET_EVENT
concerts playing near me tonight,GET_EVENT
Pumpkin picking events,GET_EVENT
Winter events in Seattle,GET_EVENT
are there any events going on near me tonight,GET_EVENT
I always go to DairyFest in Wisconsin? When is that going on this month,GET_EVENT
Need something fun to do,GET_EVENT
Christmas break events,GET_EVENT
Things to do in Portland this weekend please,GET_EVENT
What movies are playing now in Sioux Falls,GET_EVENT
What's going on tomorrow,GET_EVENT
Ice skating in Danville for Saturday,GET_EVENT
